UID,Symbol,Name,Half-lives in LB,Half-lives in M9
B2151,galS,"galS mgl repressor, galactose operon inducer ",3.3,4.8
B2152,yeiB,"yeiB orf, hypothetical protein ",4.6,2.7
B2153,folE,folE GTP cyclohydrolase I ,,5.4
B2154,yeiG,yeiG putative esterase (EC 3.1.1.-). ,14.2,4.5
B2155,cirA,cirA outer membrane receptor for iron-regulated colicin I receptor; porin; requires tonB gene product ,,2.3
B2156,lysP,lysP lysine-specific permease ,3.8,3.6
B2157,yeiE,yeiE putative transcriptional regulator LYSR-type ,4.1,5.4
B2158,yeiH,"yeiH orf, hypothetical protein ",3.5,6.6
B2159,nfo,nfo endonuclease IV ,4.6,4.1
B2160,yeiI,yeiI putative kinase ,3.4,6.4
B2161,yeiJ,yeiJ putative transport system permease protein ,,
B2162,yeiK,"yeiK orf, hypothetical protein ",6.7,5.7
B2163,yeiL,yeiL putative transcriptional regulator ,6,8.7
B2164,yeiM,yeiM putative transport system permease protein ,4.6,6.8
B2165,yeiN,"yeiN orf, hypothetical protein ",5.3,7.2
B2166,yeiC,yeiC putative kinase ,,8.1
B2167,fruA,"fruA PTS system, fructose-specific transport protein ",5.5,5.3
B2168,fruK,fruK fructose-1-phosphate kinase ,5,3.5
B2169,fruB,"fruB PTS system, fructose-specific IIA/fpr component ",8.4,5.3
B2170,yeiO,yeiO putative transport ,,10.3
B2171,yeiP,yeiP putative elongation factor ,2.6,3.8
B2172,yeiQ,yeiQ putative oxidoreductase ,3.6,6.1
B2173,yeiR,"yeiR orf, hypothetical protein ",,6
B2174,B2174,"B2174 orf, hypothetical protein ",,5.5
B2175,spr,spr putative lipoprotein ,3.7,6.1
B2176,rtn,"rtn orf, hypothetical protein ",,6.9
B2177,yejA,"yejA orf, hypothetical protein ",5.5,5.8
B2178,yejB,yejB putative transport system permease protein ,,5.3
B2179,yejE,yejE putative transport system permease protein ,6.1,3.6
B2180,yejF,yejF putative ATP-binding component of a transport system ,,4.6
B2181,yejG,"yejG orf, hypothetical protein ",4.5,
B2182,Bcr,Bcr Bicyclomycin resistance protein; transmembrane protein ,3.7,
B2183,rsuA,rsuA 16S pseudouridylate 516 synthase ,4.5,5.8
B2184,yejH,yejH putative ATP-dependent helicase ,,8.1
B2185,rplY,rplY 50S ribosomal subunit protein L25 ,7.7,6.5
B2186,yejK,"yejK orf, hypothetical protein ",4.7,4.9
B2187,yejL,"yejL orf, hypothetical protein ",8.5,6.2
B2188,yejM,yejM putative sulfatase ,2.7,3.6
B2190,yejO,yejO putative ATP-binding component of a transport system ,,5
B2191,B2191,"B2191 orf, hypothetical protein ",,
B2192,trs5_8,trs5_8 IS5 transposase ,,8
B2193,narP,narP nitrate/nitrite response regulator (sensor NarQ) ,5.4,6
B2194,ccmH,ccmH possible subunit of heme lyase ,4.5,7.2
B2195,dsbE,dsbE disulfide oxidoreductase (in biogenesis of cytochrome c? ,5.5,7.2
B2196,ccmF,ccmF cytochrome c-type biogenesis protein ,6.3,5.9
B2197,ccmE,"ccmE cytochrome c biogenesis, possible subunit of a heme lyase ",,5.3
B2198,ccmD,ccmD heme exporter protein C ,,6.6
B2199,ccmC,ccmC heme exporter protein C ,7.6,5.4
B2200,ccmB,"ccmB heme exporter protein B, cytochrome c-type biogenesis protein ",9,8
B2201,ccmA,ccmA ATP binding protein of heme exporter A ,3.7,6.1
B2202,napC,napC cytochrome c-type protein ,5.3,8.9
B2203,napB,napB cytochrome c-type protein ,,5.2
B2204,napH,napH ferredoxin-type protein: electron transfer ,4.1,6.3
B2205,napG,napG ferredoxin-type protein: electron transfer ,3.6,6.3
B2206,napA,napA probable nitrate reductase 3 ,4.6,6.7
B2207,napD,"napD orf, hypothetical protein ",6.7,7.8
B2208,napF,napF ferredoxin-type protein: electron transfer ,5.4,6.5
B2209,eco,"eco ecotin, a serine protease inhibitor ",,8.1
B2210,yojH,"yojH orf, hypothetical protein ",2,2.7
B2211,yojI,yojI putative ATP-binding component of a transport system ,,3.8
B2212,alkB,alkB DNA repair system specific for alkylated DNA ,,4.9
B2213,ada,ada O6-methylguanine-DNA methyltransferase; transcription activator/repressor ,10.9,5.5
B2214,yojL,"yojL orf, hypothetical protein ",4.1,8.3
B2215,ompC,ompC outer membrane protein 1b (Ib;c) ,,9.7
B2216,yojN,yojN putative 2-component sensor protein ,2.6,3.5
B2217,rcsB,"rcsB positive response regulator for colanic capsule biosynthesis, (sensor, RcsC) ",3.8,3.1
B2218,rcsC,"rcsC sensor for ctr capsule biosynthesis, probable histidine kinase acting on RcsB ",4.3,4.9
B2219,atoS,atoS sensor protein AtoS for response regulator AtoC ,4.4,7.5
B2220,atoC,"atoC response regulator of ato, ornithine decarboxylase antizyme (sensor ATOS) ",4.1,4.3
B2221,atoD,atoD acetyl-CoA:acetoacetyl-CoA transferase alpha subunit ,,4.4
B2222,atoA,atoA acetyl-CoA:acetoacetyl-CoA transferase beta subunit ,8.6,5.9
B2223,atoE,atoE short chain fatty acid transporter ,,6.9
B2224,atoB,atoB acetyl-CoA acetyltransferase ,,5.3
B2225,B2225,"B2225 orf, hypothetical protein ",,5.8
B2226,B2226,"B2226 orf, hypothetical protein ",5.5,5.9
B2227,B2227,"B2227 orf, hypothetical protein ",,6.2
B2228,B2228,B2228 putative membrane protein ,,8.6
B2229,B2229,"B2229 orf, hypothetical protein ",5.2,5
B2230,yfaA,"yfaA orf, hypothetical protein ",,7.5
B2231,gyrA,"gyrA DNA gyrase, subunit A, type II topoisomerase ",3.8,2.6
B2232,ubiG,ubiG 3-demethylubiquinone-9 3-methyltransferase and 2-octaprenyl-6-hydroxy phenol methylase ,,3.7
B2233,yfaL,yfaL putative ATP-binding component of a transport system ,,4.7
B2234,nrdA,"nrdA ribonucleoside diphosphate reductase 1, alpha subunit, B1 ",1.6,2.4
B2235,nrdB,"nrdB ribonucleoside-diphosphate reductase 1, beta subunit, B2 ",1.4,2.9
B2236,yfaE,"yfaE orf, hypothetical protein ",2.8,3.5
B2237,inaA,inaA pH-inducible protein involved in stress response ,4.5,4.5
B2238,yfaH,"yfaH orf, hypothetical protein ",5,5.7
B2239,glpQ,"glpQ glycerophosphodiester phosphodiesterase, periplasmic ",,4.3
B2240,glpT,glpT sn-glycerol-3-phosphate permease ,,5.9
B2241,glpA,"glpA sn-glycerol-3-phosphate dehydrogenase (anaerobic), large subunit ",7.9,7.8
B2242,glpB,"glpB sn-glycerol-3-phosphate dehydrogenase (anaerobic), membrane anchor subunit ",,7.8
B2243,glpC,"glpC sn-glycerol-3-phosphate dehydrogenase (anaerobic), K-small subunit ",3.7,7.6
B2244,yfaD,"yfaD orf, hypothetical protein ",,
B2245,B2245,"B2245 orf, hypothetical protein ",,8.1
B2246,B2246,B2246 putative transport protein ,5.2,7
B2247,B2247,B2247 putative racemase ,,5.9
B2248,B2248,B2248 putative regulator ,3.6,7.4
B2249,B2249,"B2249 orf, hypothetical protein ",5.3,3.8
B2250,B2250,"B2250 orf, hypothetical protein ",7.7,5.8
B2251,yfaO,"yfaO orf, hypothetical protein ",,6
B2253,B2253,B2253 putative enzyme ,,5.7
B2254,B2254,B2254 putative sugar transferase ,,3.5
B2255,B2255,B2255 putative transformylase ,3.9,3.9
B2256,B2256,"B2256 orf, hypothetical protein ",,7.1
B2257,B2257,"B2257 orf, hypothetical protein ",,5
B2258,B2258,B2258 putative transport/receptor protein ,,5.7
B2259,pmrD,pmrD polymyxin resistance protein B ,,6.5
B2260,menE,menE o-succinylbenzoate-CoA ligase ,4.1,6
B2261,menC,menC o-succinylbenzoyl-CoA synthase; conversion of chorismate to 2-o-succinylbenzoyl-CoA ,,7
B2262,menB,menB dihydroxynaphtoic acid synthetase ,,12.2
B2263,yfbB,yfbB putative enzyme ,4.7,4
B2264,menD,menD 2-oxoglutarate decarboxylase; SHCHC synthase ,,3.1
B2265,menF,"menF isochorismate hydroxymutase 2, menaquinone biosynthesis ",5.9,4
B2266,elaB,"elaB orf, hypothetical protein ",,13.4
B2267,elaA,"elaA orf, hypothetical protein ",5.7,
B2268,elaC,"elaC orf, hypothetical protein ",,6.3
B2269,elaD,elaD putative sulfatase / phosphatase ,,6.3
B2270,yfbK,"yfbK orf, hypothetical protein ",,12.2
B2271,yfbL,yfbL putative aminopeptidase ,3.5,5.9
B2272,yfbM,"yfbM orf, hypothetical protein ",5,6.8
B2273,yfbN,"yfbN orf, hypothetical protein ",8.6,11.2
B2274,B2274,"B2274 orf, hypothetical protein ",,13.1
B2275,B2275,"B2275 orf, hypothetical protein ",,
B2276,nuoN,nuoN NADH dehydrogenase I chain N ,,16.6
B2277,nuoM,nuoM NADH dehydrogenase I chain M ,,10.3
B2278,nuoL,nuoL NADH dehydrogenase I chain L ,,17.9
B2279,nuoK,nuoK NADH dehydrogenase I chain K ,,
B2280,nuoJ,nuoJ NADH dehydrogenase I chain J ,,22.9
B2281,nuoI,nuoI NADH dehydrogenase I chain I ,,
B2282,nuoH,nuoH NADH dehydrogenase I chain H ,3.8,6.7
B2283,nuoG,nuoG NADH dehydrogenase I chain G ,2.8,4.2
B2284,nuoF,nuoF NADH dehydrogenase I chain F ,,4.2
B2285,nuoE,nuoE NADH dehydrogenase I chain E ,2.7,2.7
B2286,nuoC,"nuoC NADH dehydrogenase I chain C, D ",1.6,2.6
B2287,nuoB,nuoB NADH dehydrogenase I chain B ,2.7,3.1
B2288,nuoA,nuoA NADH dehydrogenase I chain A ,3.4,4.4
B2289,lrhA,"lrhA NADH dehydrogenase transcriptional regulator, LysR family ",10.4,
B2290,B2290,B2290 putative aminotransferase ,2.9,
B2291,B2291,B2291 putative alpha helix protein ,,4.1
B2292,yfbS,yfbS putative transport protein ,,
B2293,yfbT,yfbT putative phosphatase ,3.9,3.8
B2294,B2294,"B2294 orf, hypothetical protein ",7.5,3.7
B2295,B2295,"B2295 orf, hypothetical protein ",4.8,4.3
B2296,ackA,ackA acetate kinase ,,3.6
B2297,pta,pta phosphotransacetylase ,4.7,2.9
B2298,yfcC,yfcC putative S-transferase ,,7
B2299,B2299,B2299 putative regulator ,4.4,2.6
B2300,yfcE,"yfcE orf, hypothetical protein ",4.7,4.6
B2301,yfcF,"yfcF orf, hypothetical protein ",,2.7
B2302,yfcG,yfcG putative S-transferase ,7.5,4.2
B2303,folX,"folX D-erythro-7,8-dihydroneopterin tri P epimerase ",7.9,4.5
B2304,B2304,B2304 putative sugar nucleotide epimerase ,3.7,3.2
B2305,yfcI,"yfcI orf, hypothetical protein ",15.6,4.7
B2306,hisP,hisP ATP-binding component of histidine transport ,9,5
B2307,hisM,"hisM histidine transport, membrane protein M ",,4.7
B2308,hisQ,hisQ histidine transport system permease protein ,5.1,7.4
B2309,hisJ,hisJ histidine-binding periplasmic protein of high-affinity histidine transport system ,8.4,5.3
B2310,argT,"argT lysine-, arginine-, ornithine-binding periplasmic protein ",4.3,8.1
B2311,ubiX,ubiX 3-octaprenyl-4-hydroxybenzoate carboxy-lyase ,5.6,5.6
B2312,purF,purF amidophosphoribosyltransferase = PRPP amidotransferase ,2.5,2.2
B2313,cvpA,cvpA membrane protein required for colicin V production ,10.7,4
B2314,dedD,dedD putative lipoprotein ,,3.6
B2315,folC,folC dihydrofolate:folylpolyglutamate synthetase; dihydrofolate synthetase ,2.6,5
B2316,accD,"accD acetylCoA carboxylase, carboxytransferase component, beta subunit ",3.1,5
B2320,pdxB,pdxB erythronate-4-phosphate dehyrogenase ,4,3.7
B2321,div,div cell division protein ,4.6,4.2
B2323,fabB,fabB 3-oxoacyl-[acyl-carrier-protein] synthase I ,1.7,1.7
B2324,B2324,B2324 putative peptidase ,2.2,4.6
B2325,B2325,"B2325 orf, hypothetical protein ",,4.1
B2326,B2326,B2326 putative transporting ATPase ,,3
B2327,yfcA,yfcA putative structural protein ,4.1,12.3
B2328,mepA,"mepA murein DD-endopeptidase, penicillin-insensitive ",2.7,3.1
B2329,aroC,aroC chorismate synthase ,4.2,2.8
B2330,yfcB,yfcB putative adenine-specific methylase ,6.1,5
B2331,B2331,"B2331 orf, hypothetical protein ",5,4.7
B2332,B2332,"B2332 orf, hypothetical protein ",,4.5
B2333,B2333,B2333 putative fimbrial-like protein ,,5.6
B2334,B2334,"B2334 orf, hypothetical protein ",8.1,4.5
B2335,B2335,B2335 putative fimbrial protein ,5.3,7.7
B2336,yfcS,yfcS putative chaperone ,4.5,8.9
B2337,B2337,B2337 putative outer membrane protein ,,9.9
B2338,yfcU,yfcU putative outer membrane protein ,,4.9
B2340,B2340,"B2340 orf, hypothetical protein ",4.6,4.4
B2341,B2341,B2341 putative enzyme ,3.7,5.2
B2342,B2342,B2342 putative acyltransferase ,,
B2343,B2343,"B2343 orf, hypothetical protein ",5,6.5
B2344,fadL,fadL transport of long-chain fatty acids; sensitivity to phage T2 ,6.3,4.3
B2345,B2345,"B2345 orf, hypothetical protein ",,5.9
B2346,vacJ,vacJ lipoprotein precursor ,3.9,4.7
B2347,yfdC,yfdC putative transport ,,
B2349,intC,intC putative prophage Sf6-like integrase ,,15.6
B2350,B2350,"B2350 orf, hypothetical protein ",3.4,6
B2351,B2351,B2351 putative glycan biosynthesis enzyme ,,5.7
B2352,B2352,B2352 putative ligase ,,12.2
B2353,B2353,"B2353 orf, hypothetical protein ",,
B2354,B2354,"B2354 orf, hypothetical protein ",,6.3
B2355,yfdL,yfdL putative RNA polymerase beta ,4.9,7
B2356,yfdM,"yfdM orf, hypothetical protein ",,4.7
B2357,yfdN,"yfdN orf, hypothetical protein ",12,3.4
B2358,yfdO,"yfdO orf, hypothetical protein ",,5
B2359,B2359,"B2359 orf, hypothetical protein ",7.6,8.2
B2360,B2360,"B2360 orf, hypothetical protein ",,6.9
B2361,B2361,"B2361 orf, hypothetical protein ",7,6
B2363,B2363,"B2363 orf, hypothetical protein ",,4.4
B2364,dsdC,dsdC D-serine dehydratase (deaminase) transcriptional activator ,,6
B2366,dsdA,dsdA D-serine dehydratase (deaminase) ,5.1,7.4
B2367,emrY,emrY multidrug resistance protein Y ,,7.5
B2368,emrK,emrK multidrug resistance protein K ,,6.4
B2369,evgA,evgA putative positive transcription regulator (sensor EvgS) ,,5.5
B2370,evgS,evgS putative sensor for regulator EvgA ,6.8,4
B2371,yfdE,yfdE putative enzyme ,,
B2372,B2372,B2372 putative receptor protein ,,6
B2373,B2373,B2373 putative enzyme ,,6.5
B2374,B2374,B2374 putative enzyme ,,6.3
B2375,B2375,"B2375 orf, hypothetical protein ",6.9,7.6
B2376,B2376,"B2376 orf, hypothetical protein ",,5.9
B2377,B2377,"B2377 orf, hypothetical protein ",5.1,8.8
B2378,ddg,ddg putative heat shock protein ,,5.2
B2379,B2379,B2379 putative aminotransferase ,7,2.8
B2380,B2380,B2380 putative sensor protein ,,
B2381,B2381,B2381 putative 2-component transcriptional regulator ,5.2,4.5
B2382,B2382,B2382 putative ARAC-type regulatory protein ,,5.8
B2384,B2384,"B2384 orf, hypothetical protein ",4.8,6.6
B2385,B2385,B2385 putative peptidase ,,
B2386,B2386,B2386 putative transport protein ,,5.8
B2387,B2387,B2387 putative PTS system enzyme IIB component ,5.2,8
B2388,glk,glk glucokinase ,3.3,3.3
B2389,B2389,"B2389 orf, hypothetical protein ",,3.4
B2390,B2390,"B2390 orf, hypothetical protein ",,2.6
B2391,B2391,"B2391 orf, hypothetical protein ",6.3,2.5
B2392,B2392,B2392 putative transport system permease ,,1.9
B2393,nupC,nupC permease of transport system for 3 nucleosides ,3.5,2.8
B2394,yi81_3,yi81_3 IS186 hypothetical protein ,2.1,4
B2395,yfeA,"yfeA orf, hypothetical protein ",8.8,4.5
B2398,yfeC,"yfeC orf, hypothetical protein ",,4.2
B2399,yfeD,"yfeD orf, hypothetical protein ",5.9,6.5
B2400,gltX,"gltX glutamate tRNA synthetase, catalytic subunit ",1.9,2.8
B2405,xapR,xapR regulator for xapA ,,6.4
B2406,xapB,xapB xanthosine permease ,6.5,8.9
B2407,xapA,xapA xanthosine phosphorylase ,5.5,7.9
B2408,yfeN,yfeN putative sugar hydrolase ,,7.3
B2409,yfeR,yfeR putative transcriptional regulator LYSR-type ,,6.5
B2410,yfeH,yfeH putative cytochrome oxidase ,3.9,5.2
B2411,lig,lig DNA ligase ,2.6,6.1
B2412,zipA,zipA cell division protein involved in FtsZ ring ,8.8,4.9
B2413,cysZ,cysZ required for sulfate transport ,2.6,3.3
B2414,cysK,"cysK cysteine synthase A, O-acetylserine sulfhydrolase A ",5.3,2.4
B2415,ptsH,ptsH PTS system protein HPr ,,
B2416,ptsI,ptsI PEP-protein phosphotransferase system enzyme I ,,4.2
B2417,crr,"crr PTS system, glucose-specific IIA component ",,5.3
B2418,pdxK,pdxK pyridoxal/pyridoxine/pyridoxamine kinase ,3.9,5
B2419,yfeK,"yfeK orf, hypothetical protein ",,7.2
B2420,B2420,"B2420 orf, hypothetical protein ",,3.8
B2421,cysM,"cysM cysteine synthase B, O-acetylserine sulfhydrolase B ",7,2.9
B2422,cysA,cysA ATP-binding component of sulfate permease A protein; chromate resistance ,,2.8
B2423,cysW,cysW sulfate transport system permease W protein ,,3
B2424,cysU,"cysU sulfate, thiosulfate transport system permease T protein ",,3.9
B2425,cysP,cysP thiosulfate binding protein ,,7.3
B2426,ucpA,ucpA putative oxidoreductase ,3.1,5.1
B2427,yfeT,"yfeT orf, hypothetical protein ",,7.5
B2428,yfeU,yfeU putative regulator ,,7.6
B2429,B2429,B2429 putative PTS enzyme II ,,6.2
B2430,B2430,B2430 putative beta-lactamase ,3.2,6.5
B2431,B2431,"B2431 orf, hypothetical protein ",3.4,3.4
B2432,B2432,"B2432 orf, hypothetical protein ",4.1,6.5
B2433,B2433,"B2433 orf, hypothetical protein ",,6.1
B2434,B2434,"B2434 orf, hypothetical protein ",4.3,5.2
B2435,amiA,amiA N-acetylmuramoyl-l-alanine amidase I ,5.9,5.9
B2436,hemF,hemF coproporphyrinogen III oxidase ,4.5,4
B2437,yfeG,yfeG putative ARAC-type regulatory protein ,6.9,6.4
B2439,B2439,"B2439 orf, hypothetical protein ",,4.5
B2440,eutC,"eutC ethanolamine ammonia-lyase, light chain ",,3.8
B2441,eutB,"eutB ethanolamine ammonia-lyase, heavy chain ",5.6,3.8
B2442,B2442,B2442 putative prophage integrase ,,5.3
B2443,B2443,"B2443 orf, hypothetical protein ",9.5,5.4
B2445,B2445,"B2445 orf, hypothetical protein ",8.4,6.1
B2447,B2447,"B2447 orf, hypothetical protein ",9.4,5.1
B2448,B2448,"B2448 orf, hypothetical protein ",,4.4
B2449,B2449,"B2449 orf, hypothetical protein ",,5.8
B2450,B2450,"B2450 orf, hypothetical protein ",,6.4
B2451,B2451,"B2451 orf, hypothetical protein ",7.2,8.5
B2452,eutH,eutH ethanolamine utilization; homolog of Salmonella putative transport protein ,8,8.5
B2453,eutG,"eutG ethanolamine utilization; homolog of Salmonella enzyme, similar to iron-containing alcohol dehydrogenase ",,
B2454,eutJ,eutJ ethanolamine utilization; homolog of Salmonella gene ,,9
B2456,cchB,cchB detox protein ,7.8,7.2
B2457,cchA,cchA detox protein ,,6.8
B2459,B2459,"B2459 orf, hypothetical protein ",5.6,8.1
B2460,B2460,"B2460 orf, hypothetical protein ",,10.2
B2461,B2461,"B2461 orf, hypothetical protein ",,7.6
B2462,B2462,"B2462 orf, hypothetical protein ",7.1,6.3
B2463,B2463,B2463 putative multimodular enzyme ,3.4,3.9
B2464,talA,talA transaldolase A ,5.7,5.8
B2465,tktB,tktB transketolase 2 isozyme ,6.4,13.6
B2466,B2466,"B2466 orf, hypothetical protein ",,4.8
B2467,yffH,"yffH orf, hypothetical protein ",,5.5
B2468,yffG,"yffG putative oxidoreductase, Fe-S subunit ",16.7,11.8
B2469,narQ,"narQ sensor for nitrate reductase system, protein histidine kinase (acts on NarP and narL) ",,7.6
B2470,acrD,"acrD sensitivity to acriflavine, integral membrane protein, possible efflux pump ",,6.1
B2471,yffB,"yffB orf, hypothetical protein ",,4.2
B2472,dapE,dapE N-succinyl-diaminopimelate deacylase ,3.9,3.5
B2473,ypfH,"ypfH orf, hypothetical protein ",8,4.1
B2474,ypfI,"ypfI orf, hypothetical protein ",,3.2
B2475,B2475,"B2475 orf, hypothetical protein ",,2.3
B2476,purC,purC phosphoribosylaminoimidazole-succinocarboxamide synthetase = SAICAR synthetase ,4.5,3.1
B2477,nlpB,nlpB lipoprotein-34 ,2.8,2.2
B2478,dapA,dapA dihydrodipicolinate synthase ,3.3,2.6
B2479,gcvR,gcvR transcriptional regulation of gcv operon ,4.8,3.3
B2480,Bcp,Bcp Bacterioferritin comigratory protein ,,2.9
B2481,hyfA,hyfA hydrogenase 4 Fe-S subunit ,,5.7
B2482,hyfB,hyfB hydrogenase 4 membrane subunit ,,6
B2484,hyfD,hyfD hydrogenase 4 membrane subunit ,,7.4
B2485,hyfE,hyfE hydrogenase 4 membrane subunit ,,4
B2486,hyfF,hyfF hydrogenase 4 membrane subunit ,,8.4
B2487,hyfG,hyfG hydrogenase 4 subunit ,4.8,6.8
B2488,hyfH,hyfH hydrogenase 4 Fe-S subunit ,5.5,9.8
B2489,hyfI,hyfI hydrogenase 4 Fe-S subunit ,,5.9
B2490,B2490,B2490 putative protein processing element ,4.8,
B2491,hyfR,"hyfR putative 2-component regulator, interaction with sigma 54 ",4.7,8.2
B2493,perM,perM putative permease ,,4.3
B2494,B2494,"B2494 orf, hypothetical protein ",5.8,3.5
B2495,B2495,B2495 putative oxidoreductase ,3.4,3.1
B2496,B2496,B2496 putative DNA replication factor ,3.1,4.5
B2497,uraA,uraA uracil transport ,3.3,
B2498,upp,upp uracil phosphoribosyltransferase ,2.7,4.1
B2501,ppk,ppk polyphosphate kinase ,,4.7
B2502,ppx,ppx exopolyphosphatase ,2.1,2.8
B2503,B2503,B2503 putative cytochrome C-type biogenesis protein ,,6.8
B2504,B2504,"B2504 orf, hypothetical protein ",,6.8
B2505,B2505,B2505 putative outer membrane lipoprotein ,,20.7
B2506,B2506,B2506 putative membrane protein ,,6.4
B2507,guaA,guaA GMP synthetase (glutamine-hydrolyzing) ,2.2,2.3
B2508,guaB,guaB IMP dehydrogenase ,2.3,
B2509,xseA,"xseA exonuclease VII, large subunit ",,
B2510,B2510,"B2510 orf, hypothetical protein ",,6.1
B2511,B2511,B2511 putative GTP-binding factor ,,
B2512,B2512,B2512 putative dehydrogenase ,1.5,2
B2513,B2513,"B2513 orf, hypothetical protein ",1.8,2.7
B2514,hisS,hisS histidine tRNA synthetase ,1.1,1.8
B2515,gcpE,"gcpE orf, hypothetical protein ",1.7,1.9
B2516,yfgA,yfgA putative membrane protein ,,2.7
B2517,yfgB,"yfgB orf, hypothetical protein ",2,4.1
B2518,ndk,ndk nucleoside diphosphate kinase ,1.8,5.3
B2519,pbpC,pbpC putative peptidoglycan enzyme ,,4.4
B2520,B2520,"B2520 orf, hypothetical protein ",,
B2521,sseA,sseA putative thiosulfate sulfurtransferase ,5.1,5.4
B2522,sseB,sseB enhanced serine sensitivity ,6.6,8.2
B2524,yfhJ,"yfhJ orf, hypothetical protein ",,
B2525,fdx,"fdx [2FE-2S] ferredoxin, electron carrer protein ",3.8,
B2526,hscA,"hscA heat shock protein, chaperone, member of Hsp70 protein family ",1.7,2.4
B2527,yfhE,"yfhE orf, hypothetical protein ",,2.9
B2528,yfhF,yfhF putative regulator ,5.7,2.5
B2529,B2529,"B2529 orf, hypothetical protein ",,2.2
B2530,yfhO,yfhO putative aminotransferase ,2.9,1.7
B2531,B2531,"B2531 orf, hypothetical protein ",6.4,2.1
B2532,B2532,B2532 putative ATP synthase beta subunit ,2.8,
B2533,suhB,"suhB enhances synthesis of sigma32 in mutant; extragenic suppressor, may modulate RNAse III lethal action ",1.9,6.6
B2534,B2534,B2534 putative enzyme (3.4.-) ,,5.9
B2535,csiE,"csiE orf, hypothetical protein ",,6.5
B2536,hcaT,hcaT MFS (major facilitator superfamily) transporter ,5.7,6.7
B2537,hcaR,hcaR transcriptional activator of hca cluster ,,7.9
B2538,hcaA1,hcaA1 large terminal subunit of phenylpropionate dioxygenase ,,5.3
B2539,hcaA2,hcaA2 small terminal subunit of phenylpropionate dioxygenase ,,4
B2540,hcaC,hcaC ferredoxin subunit of phenylpropionate dioxygenase ,,5.3
B2541,hcaB,"hcaB 2,3-dihydroxy-2,3-dihydrophenylpropionate dehydrogenase ",6.3,5.2
B2542,hcaD,hcaD ferredoxin reductase subunit of phenylpropionate dioxygenase ,3.3,5.9
B2543,yphA,"yphA orf, hypothetical protein ",7.8,4.8
B2544,yphB,"yphB orf, hypothetical protein ",,5.1
B2545,yphC,yphC putative oxidoreductase ,,5.3
B2546,yphD,yphD putative transport system permease protein ,,7.1
B2548,yphF,yphF putative LACI-type transcriptional regulator ,,4.9
B2549,yphG,"yphG orf, hypothetical protein ",,7.4
B2550,yphH,yphH putative NAGC-like transcriptional regulator ,,6.1
B2551,glyA,glyA serine hydroxymethyltransferase ,4.7,2.6
B2552,hmpA,"hmpA dihydropteridine reductase, ferrisiderophore reductase activity ",,4.3
B2553,glnB,glnB regulatory protein P-II for glutamine synthetase ,7.3,4.8
B2554,yfhA,yfhA putative 2-component transcriptional regulator ,3.8,4.2
B2555,yfhG,yfhG putative alpha helix protein ,7,3.9
B2556,yfhK,yfhK putative 2-component sensor protein ,13.4,
B2557,purL,purL phosphoribosylformyl-glycineamide synthetase = FGAM synthetase ,4.8,2.1
B2558,yfhD,yfhD putative periplasmic binding transport protein ,5.2,6.9
B2559,yfhC,yfhC putative deaminase ,8.2,3.8
B2560,yfhB,"yfhB orf, hypothetical protein ",4.5,5.4
B2561,yfhH,"yfhH orf, hypothetical protein ",3.4,7.9
B2562,yfhL,"yfhL orf, hypothetical protein ",2.3,5.2
B2563,acpS,acpS CoA:apo-[acyl-carrier-protein] pantetheinephosphotransferase ,4.3,4.2
B2564,pdxJ,pdxJ pyridoxine biosynthesis ,4,3.7
B2565,recO,recO protein interacts with RecR and possibly RecF proteins ,4,5.1
B2566,era,era GTP-binding protein ,2.3,2.9
B2567,rnc,"rnc RNase III, ds RNA ",4,4
B2568,lepB,lepB leader peptidase (signal peptidase I) ,2.1,4.3
B2569,lepA,"lepA GTP-binding elongation factor, may be inner membrane protein ",2,2.4
B2570,rseC,"rseC sigma-E factor, negative regulatory protein ",3.3,3.6
B2571,rseB,rseB regulates activity of sigma-E factor ,3.1,2.5
B2572,rseA,"rseA sigma-E factor, negative regulatory protein ",3,1.9
B2573,rpoE,"rpoE RNA polymerase, sigma-E factor; heat shock and oxidative stress ",3.2,3.5
B2574,nadB,"nadB quinolinate synthetase, B protein ",,6
B2575,yfiC,yfiC putative enzyme ,7.7,4.6
B2576,srmB,srmB ATP-dependent RNA helicase ,5,9.2
B2577,yfiE,yfiE putative transcriptional regulator LYSR-type ,4.6,
B2578,yfiK,"yfiK orf, hypothetical protein ",3.5,
B2579,yfiD,yfiD putative formate acetyltransferase ,5.1,6.2
B2580,ung,ung uracil-DNA-glycosylase ,5.2,5.2
B2581,yfiF,"yfiF orf, hypothetical protein ",,5.8
B2582,trxC,trxC putative thioredoxin-like protein ,4.4,5.3
B2583,yfiP,"yfiP orf, hypothetical protein ",4.1,5.8
B2584,yfiQ,"yfiQ orf, hypothetical protein ",4.1,6.2
B2585,pssA,pssA phosphatidylserine synthase; phospholipid synthesis ,2.6,3.3
B2586,yfiM,"yfiM orf, hypothetical protein ",6.1,2.8
B2587,kgtP,kgtP alpha-ketoglutarate permease ,1.7,1.5
B2592,clpB,clpB heat shock protein ,4.4,3.3
B2593,yfiH,"yfiH orf, hypothetical protein ",3.6,5.5
B2594,sfhB,sfhB suppressor of ftsH mutation ,1.8,2.9
B2595,B2595,"B2595 orf, hypothetical protein ",2,1.9
B2596,B2596,"B2596 orf, hypothetical protein ",4.2,6.6
