"Table 6. mRNA relative abundances in M9 + glucose and LB media"				
				
"This table contains the relative abundances for individual mRNAs in M9 + glucose"				
"and LB media. Relative abundances were determined by using mRNA harvested from"				
"cultures grown at 30ºC to OD600 = 0.8 as described in Materials and Methods. "				
"The data in this file were used as source data for Fig. 3A."				
				
			"Relative abundance "	"Relative abundance "
"B2295"	"B2295"	"B2295 orf, hypothetical protein "	0.495	1.495
"B2296"	"ackA"	"ackA acetate kinase "	1.362	1.372
"B2297"	"pta"	"pta phosphotransacetylase "	1.451	0.535
"B2298"	"yfcC"	"yfcC putative S-transferase "		-0.929
"B2299"	"B2299"	"B2299 putative regulator "	1.552	1.098
"B2300"	"yfcE"	"yfcE orf, hypothetical protein "	-1.143	0.007
"B2301"	"yfcF"	"yfcF orf, hypothetical protein "	-1.039	0.56
"B2303"	"folX"	"folX D-erythro-7,8-dihydroneopterin tri P epimerase "		0.49
"B2304"	"B2304"	"B2304 putative sugar nucleotide epimerase "	-0.388	0.61
"B2305"	"yfcI"	"yfcI orf, hypothetical protein "		-0.928
"B2306"	"hisP"	"hisP ATP-binding component of histidine transport "		-1.195
"B2307"	"hisM"	"hisM histidine transport, membrane protein M "	-1.382	-0.867
"B2308"	"hisQ"	"hisQ histidine transport system permease protein "	-2.453	-0.578
"B2309"	"hisJ"	"hisJ histidine-binding periplasmic protein of high-affinity histidine transport system "	0.248	0.425
"B2310"	"argT"	"argT lysine-, arginine-, ornithine-binding periplasmic protein "	1.142	0.638
"B2311"	"ubiX"	"ubiX 3-octaprenyl-4-hydroxybenzoate carboxy-lyase "		-0.628
"B2312"	"purF"	"purF amidophosphoribosyltransferase = PRPP amidotransferase "	-1.108	-0.047
"B2313"	"cvpA"	"cvpA membrane protein required for colicin V production "		0.194
"B2314"	"dedD"	"dedD putative lipoprotein "	-1.205	-0.546
"B2315"	"folC"	"folC dihydrofolate:folylpolyglutamate synthetase; dihydrofolate synthetase "	-1.215	-0.579
"B2316"	"accD"	"accD acetylCoA carboxylase, carboxytransferase component, beta subunit "	0.179	0.817
"B2317"	"dedA"	"dedA orf, hypothetical protein "		0.538
"B2318"	"truA"	"truA pseudouridylate synthase I "	0.419	1.019
"B2319"	"usg"	"usg putative PTS system enzyme II A component "	-1.329	-0.214
"B2320"	"pdxB"	"pdxB erythronate-4-phosphate dehyrogenase "	-0.723	0.079
"B2321"	"div"	"div cell division protein "	-0.707	-0.545
"B2322"	"B2322"	"B2322 putative transport protein "		
"B2323"	"fabB"	"fabB 3-oxoacyl-[acyl-carrier-protein] synthase I "	0.704	1.971
"B2324"	"B2324"	"B2324 putative peptidase "	-1.41	-0.334
"B2325"	"B2325"	"B2325 orf, hypothetical protein "		
"B2326"	"B2326"	"B2326 putative transporting ATPase "	-2.707	-1.549
"B2327"	"yfcA"	"yfcA putative structural protein "		-0.203
"B2328"	"mepA"	"mepA murein DD-endopeptidase, penicillin-insensitive "	-0.928	-0.356
"B2329"	"aroC"	"aroC chorismate synthase "	0.314	0.69
"B2331"	"B2331"	"B2331 orf, hypothetical protein "		-0.736
"B2333"	"B2333"	"B2333 putative fimbrial-like protein "		4.034
"B2337"	"B2337"	"B2337 putative outer membrane protein "		
"B2338"	"yfcU"	"yfcU putative outer membrane protein "		
"B2340"	"B2340"	"B2340 orf, hypothetical protein "		
"B2341"	"B2341"	"B2341 putative enzyme "	-1.708	
"B2342"	"B2342"	"B2342 putative acyltransferase "	-1.33	
"B2343"	"B2343"	"B2343 orf, hypothetical protein "	-0.194	-0.276
"B2346"	"vacJ"	"vacJ lipoprotein precursor "	-0.861	-1.088
"B2347"	"yfdC"	"yfdC putative transport "		-0.283
"B2349"	"intC"	"intC putative prophage Sf6-like integrase "	-1.519	-0.516
"B2350"	"B2350"	"B2350 orf, hypothetical protein "		0.418
"B2351"	"B2351"	"B2351 putative glycan biosynthesis enzyme "	0.248	0.717
"B2352"	"B2352"	"B2352 putative ligase "	-1.046	0.39
"B2353"	"B2353"	"B2353 orf, hypothetical protein "		-0.086
"B2355"	"yfdL"	"yfdL putative RNA polymerase beta "		-1.188
"B2357"	"yfdN"	"yfdN orf, hypothetical protein "		-0.866
"B2358"	"yfdO"	"yfdO orf, hypothetical protein "		
"B2359"	"B2359"	"B2359 orf, hypothetical protein "		
"B2360"	"B2360"	"B2360 orf, hypothetical protein "		0.118
"B2361"	"B2361"	"B2361 orf, hypothetical protein "		0.675
"B2362"	"B2362"	"B2362 orf, hypothetical protein "	0.237	2.097
"B2365"	"dsdX"	"dsdX transport system permease (serine?) "	-1.28	
"B2366"	"dsdA"	"dsdA D-serine dehydratase (deaminase) "	-1.026	-1.212
"B2367"	"emrY"	"emrY multidrug resistance protein Y "		
"B2374"	"B2374"	"B2374 putative enzyme "		
"B2375"	"B2375"	"B2375 orf, hypothetical protein "		
"B2377"	"B2377"	"B2377 orf, hypothetical protein "		1.1
"B2378"	"ddg"	"ddg putative heat shock protein "		-0.836
"B2380"	"B2380"	"B2380 putative sensor protein "		-1.378
"B2381"	"B2381"	"B2381 putative 2-component transcriptional regulator "		-0.44
"B2382"	"B2382"	"B2382 putative ARAC-type regulatory protein "		
"B2388"	"glk"	"glk glucokinase "	-0.512	0.193
"B2389"	"B2389"	"B2389 orf, hypothetical protein "		-0.385
"B2390"	"B2390"	"B2390 orf, hypothetical protein "		1.331
"B2391"	"B2391"	"B2391 orf, hypothetical protein "		1.174
"B2392"	"B2392"	"B2392 putative transport system permease "	-2.169	2.404
"B2394"	"yi81_3"	"yi81_3 IS186 hypothetical protein "	-1.857	-0.959
"B2395"	"yfeA"	"yfeA orf, hypothetical protein "		
"B2398"	"yfeC"	"yfeC orf, hypothetical protein "	-0.812	-0.519
"B2399"	"yfeD"	"yfeD orf, hypothetical protein "	-0.863	0.282
"B2400"	"gltX"	"gltX glutamate tRNA synthetase, catalytic subunit "	1.574	0.773
"B2405"	"xapR"	"xapR regulator for xapA "		-0.819
"B2408"	"yfeN"	"yfeN putative sugar hydrolase "		-0.574
"B2410"	"yfeH"	"yfeH putative cytochrome oxidase "		-1.2
"B2411"	"lig"	"lig DNA ligase "		-0.852
"B2412"	"zipA"	"zipA cell division protein involved in FtsZ ring "	-1.098	0.793
"B2413"	"cysZ"	"cysZ required for sulfate transport "	-0.749	0.341
"B2414"	"cysK"	"cysK cysteine synthase A, O-acetylserine sulfhydrolase A "	0.243	3.203
"B2415"	"ptsH"	"ptsH PTS system protein HPr "	3.226	4.422
"B2416"	"ptsI"	"ptsI PEP-protein phosphotransferase system enzyme I "	2.711	3.361
"B2417"	"crr"	"crr PTS system, glucose-specific IIA component "	2.165	2.552
"B2418"	"pdxK"	"pdxK pyridoxal/pyridoxine/pyridoxamine kinase "	-0.564	0.376
"B2419"	"yfeK"	"yfeK orf, hypothetical protein "	-1.155	-0.541
"B2420"	"B2420"	"B2420 orf, hypothetical protein "		-1.302
"B2421"	"cysM"	"cysM cysteine synthase B, O-acetylserine sulfhydrolase B "		-0.2
"B2422"	"cysA"	"cysA ATP-binding component of sulfate permease A protein; chromate resistance "		0.049
"B2424"	"cysU"	"cysU sulfate, thiosulfate transport system permease T protein "		-0.778
"B2425"	"cysP"	"cysP thiosulfate binding protein "	-1.901	0.781
"B2428"	"yfeU"	"yfeU putative regulator "		-0.606
"B2429"	"B2429"	"B2429 putative PTS enzyme II "		-0.809
"B2430"	"B2430"	"B2430 putative beta-lactamase "		
"B2431"	"B2431"	"B2431 orf, hypothetical protein "		
"B2432"	"B2432"	"B2432 orf, hypothetical protein "		-0.39
"B2435"	"amiA"	"amiA N-acetylmuramoyl-l-alanine amidase I "		-0.385
"B2436"	"hemF"	"hemF coproporphyrinogen III oxidase "		-0.299
"B2437"	"yfeG"	"yfeG putative ARAC-type regulatory protein "		
"B2441"	"eutB"	"eutB ethanolamine ammonia-lyase, heavy chain "		-0.497
"B2442"	"B2442"	"B2442 putative prophage integrase "		-1.354
"B2443"	"B2443"	"B2443 orf, hypothetical protein "		
"B2449"	"B2449"	"B2449 orf, hypothetical protein "		
"B2450"	"B2450"	"B2450 orf, hypothetical protein "	0.996	-0.593
"B2452"	"eutH"	"eutH ethanolamine utilization; homolog of Salmonella putative transport protein "		-0.143
"B2454"	"eutJ"	"eutJ ethanolamine utilization; homolog of Salmonella gene "		-0.956
"B2456"	"cchB"	"cchB detox protein "		-0.847
"B2457"	"cchA"	"cchA detox protein "		0.268
"B2460"	"B2460"	"B2460 orf, hypothetical protein "		
"B2461"	"B2461"	"B2461 orf, hypothetical protein "		
"B2462"	"B2462"	"B2462 orf, hypothetical protein "		
"B2463"	"B2463"	"B2463 putative multimodular enzyme "	0.152	-0.068
"B2464"	"talA"	"talA transaldolase A "	-0.136	2.681
"B2465"	"tktB"	"tktB transketolase 2 isozyme "	-1.362	1.729
"B2466"	"B2466"	"B2466 orf, hypothetical protein "		-1.231
"B2467"	"yffH"	"yffH orf, hypothetical protein "	-0.811	-0.099
"B2468"	"yffG"	"yffG putative oxidoreductase, Fe-S subunit "		-1.174
"B2469"	"narQ"	"narQ sensor for nitrate reductase system, protein histidine kinase (acts on NarP and narL) "		-1.791
"B2470"	"acrD"	"acrD sensitivity to acriflavine, integral membrane protein, possible efflux pump "		-1.756
"B2471"	"yffB"	"yffB orf, hypothetical protein "	-0.733	-0.085
"B2472"	"dapE"	"dapE N-succinyl-diaminopimelate deacylase "	-1.583	-0.537
"B2473"	"ypfH"	"ypfH orf, hypothetical protein "		-0.609
"B2474"	"ypfI"	"ypfI orf, hypothetical protein "	-1.697	-0.952
"B2476"	"purC"	"purC phosphoribosylaminoimidazole-succinocarboxamide synthetase = SAICAR synthetase "	-1.883	1.132
"B2477"	"nlpB"	"nlpB lipoprotein-34 "	0.963	1.22
"B2478"	"dapA"	"dapA dihydrodipicolinate synthase "	0.943	1.283
"B2479"	"gcvR"	"gcvR transcriptional regulation of gcv operon "	0.502	1.468
"B2480"	"Bcp"	"Bcp Bacterioferritin comigratory protein "	1.601	1.968
"B2482"	"hyfB"	"hyfB hydrogenase 4 membrane subunit "		
"B2485"	"hyfE"	"hyfE hydrogenase 4 membrane subunit "		
"B2487"	"hyfG"	"hyfG hydrogenase 4 subunit "		-1.434
"B2489"	"hyfI"	"hyfI hydrogenase 4 Fe-S subunit "		-0.706
"B2491"	"hyfR"	"hyfR putative 2-component regulator, interaction with sigma 54 "		-1.193
"B2492"	"focB"	"focB probable formate transporter (formate channel 2) "		
"B2493"	"perM"	"perM putative permease "		-0.899
"B2494"	"B2494"	"B2494 orf, hypothetical protein "	-1.475	-0.089
"B2495"	"B2495"	"B2495 putative oxidoreductase "		-0.222
"B2496"	"B2496"	"B2496 putative DNA replication factor "	0.135	-0.33
"B2497"	"uraA"	"uraA uracil transport "	2.35	-0.845
"B2498"	"upp"	"upp uracil phosphoribosyltransferase "	3.793	-0.223
"B2499"	"purM"	"purM phosphoribosylaminoimidazole synthetase = AIR synthetase "		0.787
"B2500"	"purN"	"purN phosphoribosylglycinamide formyltransferase 1 "		0.91
"B2501"	"ppk"	"ppk polyphosphate kinase "	0.039	0.474
"B2502"	"ppx"	"ppx exopolyphosphatase "	-1.448	-0.261
"B2504"	"B2504"	"B2504 orf, hypothetical protein "	2.399	1.877
"B2505"	"B2505"	"B2505 putative outer membrane lipoprotein "		-1.414
"B2506"	"B2506"	"B2506 putative membrane protein "		0.344
"B2507"	"guaA"	"guaA GMP synthetase (glutamine-hydrolyzing) "	0.804	0.959
"B2508"	"guaB"	"guaB IMP dehydrogenase "	0.04	0.905
"B2509"	"xseA"	"xseA exonuclease VII, large subunit "	0.239	0.537
"B2510"	"B2510"	"B2510 orf, hypothetical protein "		
"B2511"	"B2511"	"B2511 putative GTP-binding factor "	-2.272	-0.03
"B2512"	"B2512"	"B2512 putative dehydrogenase "	0.038	0.964
"B2513"	"B2513"	"B2513 orf, hypothetical protein "	0.047	0.982
"B2514"	"hisS"	"hisS histidine tRNA synthetase "	0.651	1.266
"B2515"	"gcpE"	"gcpE orf, hypothetical protein "	-0.93	0.618
"B2516"	"yfgA"	"yfgA putative membrane protein "	-0.495	1.224
"B2517"	"yfgB"	"yfgB orf, hypothetical protein "	-2.129	-0.392
"B2518"	"ndk"	"ndk nucleoside diphosphate kinase "	1.918	-0.291
"B2519"	"pbpC"	"pbpC putative peptidoglycan enzyme "	-2.003	-1.247
"B2520"	"B2520"	"B2520 orf, hypothetical protein "		-0.52
"B2522"	"sseB"	"sseB enhanced serine sensitivity "	-0.537	0.261
"B2523"	"pepB"	"pepB putative peptidase "	0.127	
"B2524"	"yfhJ"	"yfhJ orf, hypothetical protein "	-0.117	-0.196
"B2525"	"fdx"	"fdx [2FE-2S] ferredoxin, electron carrer protein "	-0.395	-0.956
"B2526"	"hscA"	"hscA heat shock protein, chaperone, member of Hsp70 protein family "	-1.526	-0.615
"B2527"	"yfhE"	"yfhE orf, hypothetical protein "	-0.932	-0.157
"B2528"	"yfhF"	"yfhF putative regulator "	0.127	2.144
"B2529"	"B2529"	"B2529 orf, hypothetical protein "	0.988	2.476
"B2531"	"B2531"	"B2531 orf, hypothetical protein "	0.01	2.609
"B2532"	"B2532"	"B2532 putative ATP synthase beta subunit "	-1.61	0.131
"B2533"	"suhB"	"suhB enhances synthesis of sigma32 in mutant; extragenic suppressor, may modulate RNAse III lethal action "	0.358	-0.779
"B2535"	"csiE"	"csiE orf, hypothetical protein "	0.611	-0.361
"B2536"	"hcaT"	"hcaT MFS (major facilitator superfamily) transporter "		
"B2537"	"hcaR"	"hcaR transcriptional activator of hca cluster "	0.201	-0.979
"B2539"	"hcaA2"	"hcaA2 small terminal subunit of phenylpropionate dioxygenase "		
"B2540"	"hcaC"	"hcaC ferredoxin subunit of phenylpropionate dioxygenase "		
"B2542"	"hcaD"	"hcaD ferredoxin reductase subunit of phenylpropionate dioxygenase "		-0.716
"B2543"	"yphA"	"yphA orf, hypothetical protein "	-1.044	0.393
"B2546"	"yphD"	"yphD putative transport system permease protein "		
"B2547"	"yphE"	"yphE putative ATP-binding component of a transport system "		
"B2548"	"yphF"	"yphF putative LACI-type transcriptional regulator "		-0.89
"B2549"	"yphG"	"yphG orf, hypothetical protein "		-2.352
"B2550"	"yphH"	"yphH putative NAGC-like transcriptional regulator "		-1.185
"B2551"	"glyA"	"glyA serine hydroxymethyltransferase "	2.848	2.979
"B2552"	"hmpA"	"hmpA dihydropteridine reductase, ferrisiderophore reductase activity "	-1.296	-0.723
"B2553"	"glnB"	"glnB regulatory protein P-II for glutamine synthetase "	-0.385	-0.275
"B2554"	"yfhA"	"yfhA putative 2-component transcriptional regulator "		
"B2555"	"yfhG"	"yfhG putative alpha helix protein "		-0.253
"B2556"	"yfhK"	"yfhK putative 2-component sensor protein "		-0.262
"B2557"	"purL"	"purL phosphoribosylformyl-glycineamide synthetase = FGAM synthetase "	-2.572	0.308
"B2558"	"yfhD"	"yfhD putative periplasmic binding transport protein "	-2	-1.249
"B2560"	"yfhB"	"yfhB orf, hypothetical protein "		-0.822
"B2561"	"yfhH"	"yfhH orf, hypothetical protein "		
"B2563"	"acpS"	"acpS CoA:apo-[acyl-carrier-protein] pantetheinephosphotransferase "	-0.732	
"B2564"	"pdxJ"	"pdxJ pyridoxine biosynthesis "		0.449
"B2565"	"recO"	"recO protein interacts with RecR and possibly RecF proteins "	-1.522	-0.009
"B2566"	"era"	"era GTP-binding protein "	-0.71	-0.075
"B2567"	"rnc"	"rnc RNase III, ds RNA "	-1.638	0.478
"B2568"	"lepB"	"lepB leader peptidase (signal peptidase I) "	-0.622	-0.069
"B2569"	"lepA"	"lepA GTP-binding elongation factor, may be inner membrane protein "	-0.367	-0.031
"B2570"	"rseC"	"rseC sigma-E factor, negative regulatory protein "		1.542
"B2571"	"rseB"	"rseB regulates activity of sigma-E factor "	0.623	1.15
"B2572"	"rseA"	"rseA sigma-E factor, negative regulatory protein "	1.226	2.379
"B2573"	"rpoE"	"rpoE RNA polymerase, sigma-E factor; heat shock and oxidative stress "	0.284	1.534
"B2574"	"nadB"	"nadB quinolinate synthetase, B protein "		-0.906
"B2576"	"srmB"	"srmB ATP-dependent RNA helicase "	-0.054	-0.049
"B2577"	"yfiE"	"yfiE putative transcriptional regulator LYSR-type "		
"B2580"	"ung"	"ung uracil-DNA-glycosylase "	-1.113	-0.324
"B2581"	"yfiF"	"yfiF orf, hypothetical protein "		
"B2582"	"trxC"	"trxC putative thioredoxin-like protein "	-0.387	-0.159
"B2584"	"yfiQ"	"yfiQ orf, hypothetical protein "	-0.673	-0.658
"B2585"	"pssA"	"pssA phosphatidylserine synthase; phospholipid synthesis "	0.312	1.362
"B2586"	"yfiM"	"yfiM orf, hypothetical protein "	-0.344	2.211
"B2587"	"kgtP"	"kgtP alpha-ketoglutarate permease "	1.61	3.662
"B2592"	"clpB"	"clpB heat shock protein "	0.44	1.443
"B2593"	"yfiH"	"yfiH orf, hypothetical protein "		0.851
"B2594"	"sfhB"	"sfhB suppressor of ftsH mutation "	0.457	0.829
"B2595"	"B2595"	"B2595 orf, hypothetical protein "	1.835	2.034
"B2596"	"B2596"	"B2596 orf, hypothetical protein "	-0.024	1.257
"B2597"	"yfiA"	"yfiA putative yhbH sigma 54 modulator "	4.699	3.569
"B2598"	"pheL"	"pheL leader peptide of chorismate mutase-P-prephenate dehydratase "		1.967
"B2599"	"pheA"	"pheA chorismate mutase-P and prephenate dehydratase "	-1.024	4.173
"B2600"	"tyrA"	"tyrA chorismate mutase-T and prephenate dehydrogenase "		3.887
"B2601"	"aroF"	"aroF 3-deoxy-D-arabinoheptulosonate-7-phosphate synthase (DAHP synthetase, tyrosine repressible) "		5.437
"B2602"	"yfiL"	"yfiL orf, hypothetical protein "		1.577
"B2603"	"B2603"	"B2603 orf, hypothetical protein "	-1.321	0.594
"B2604"	"yfiN"	"yfiN orf, hypothetical protein "		-0.514
"B2605"	"yfiB"	"yfiB putative outer membrane protein "	1.536	0.858
"B2606"	"rplS"	"rplS 50S ribosomal subunit protein L19 "	1.852	2.247
"B2607"	"trmD"	"trmD tRNA methyltransferase; tRNA (guanine-7-)-methyltransferase "	2.998	2.815
"B2608"	"yfjA"	"yfjA orf, hypothetical protein "	1.637	1.879
"B2609"	"rpsP"	"rpsP 30S ribosomal subunit protein S16 "	1.55	1.042
"B2610"	"ffh"	"ffh GTP-binding export factor binds to signal sequence, GTP and RNA "	-0.07	0.51
"B2611"	"B2611"	"B2611 orf, hypothetical protein "		-0.235
"B2612"	"ypjE"	"ypjE orf, hypothetical protein "		0.556
"B2613"	"yfjD"	"yfjD putative transport protein "		-0.753
"B2614"	"grpE"	"grpE phage lambda replication; host DNA synthesis; heat shock protein; protein repair "	2.001	1.169
"B2615"	"yfjB"	"yfjB orf, hypothetical protein "	-0.148	0.382
"B2616"	"recN"	"recN protein used in recombination and DNA repair "	-1.909	-1.033
"B2617"	"smpA"	"smpA small membrane protein A "	0.765	1.147
"B2619"	"B2619"	"B2619 orf, hypothetical protein "		-0.688
"B2620"	"smpB"	"smpB small protein B "	1.108	1.088
"B2622"	"intA"	"intA prophage CP4-57 integrase "	-0.573	-0.662
"B2627"	"yfjK"	"yfjK orf, hypothetical protein "	-2.262	-1.021
"B2628"	"yfjL"	"yfjL orf, hypothetical protein "	-0.855	0.428
"B2629"	"yfjM"	"yfjM orf, hypothetical protein "		
"B2630"	"yfjN"	"yfjN putative cell division protein "		-0.37
"B2631"	"yfjO"	"yfjO orf, hypothetical protein "	-1.649	-0.427
"B2632"	"yfjP"	"yfjP putative GTP-binding protein "		
"B2633"	"yfjQ"	"yfjQ orf, hypothetical protein "		-1.438
"B2637"	"yfjT"	"yfjT orf, hypothetical protein "		
"B2638"	"B2638"	"B2638 orf, hypothetical protein "		-0.498
"B2639"	"B2639"	"B2639 putative pump protein "		
"B2641"	"B2641"	"B2641 orf, hypothetical protein "		-0.022
"B2647"	"ypjA"	"ypjA putative ATP-binding component of a transport system "		-0.842
"B2648"	"B2648"	"B2648 orf, hypothetical protein "		
"B2659"	"B2659"	"B2659 orf, hypothetical protein "	1.117	
"B2660"	"ygaF"	"ygaF orf, hypothetical protein "	-0.22	-0.508
"B2661"	"gabD"	"gabD succinate-semialdehyde dehydrogenase, NADP-dependent activity "	-0.931	0.024
"B2662"	"gabT"	"gabT 4-aminobutyrate aminotransferase activity "	-0.822	0.29
"B2664"	"ygaE"	"ygaE putative transcriptional regulator "		0.006
"B2665"	"ygaU"	"ygaU orf, hypothetical protein "	0.078	2.542
"B2666"	"B2666"	"B2666 orf, hypothetical protein "		1.07
"B2668"	"ygaP"	"ygaP orf, hypothetical protein "	-0.818	0.428
"B2669"	"stpA"	"stpA DNA-binding protein; H-NS-like protein; chaperone activity; RNA splicing? "		0.611
"B2670"	"B2670"	"B2670 orf, hypothetical protein "		-0.793
"B2672"	"ygaM"	"ygaM orf, hypothetical protein "	0.266	3.044
"B2673"	"nrdH"	"nrdH glutaredoxin-like protein; hydrogen donor "		3.263
"B2674"	"nrdI"	"nrdI orf, hypothetical protein "		3.005
"B2675"	"nrdE"	"nrdE ribonucleoside-diphosphate reductase 2, alpha subunit "		2.675
"B2676"	"nrdF"	"nrdF ribonucleoside-diphosphate reductase 2, beta chain, frag "		2.438
"B2677"	"proV"	"proV ATP-binding component of transport system for glycine, betaine and proline "	-0.887	0.631
"B2678"	"proW"	"proW high-affinity transport system for glycine betaine and proline "		0.266
"B2679"	"proX"	"proX high-affinity transport system for glycine betaine and proline "	2.275	1.36
"B2680"	"B2680"	"B2680 orf, hypothetical protein "		-0.04
"B2681"	"B2681"	"B2681 putative transport protein "		0.294
"B2682"	"B2682"	"B2682 orf, hypothetical protein "	-1.029	-0.257
"B2683"	"ygaH"	"ygaH orf, hypothetical protein "	0.444	0.623
"B2684"	"emrR"	"emrR regulator of plasmid mcrB operon (microcin B17 synthesis) "	0.106	-0.369
"B2685"	"emrA"	"emrA multidrug resistance secretion protein "	-1.165	
"B2686"	"emrB"	"emrB multidrug resistance; probably membrane translocase "		-1.375
"B2687"	"ygaG"	"ygaG orf, hypothetical protein "	1.13	2.465
"B2688"	"gshA"	"gshA gamma-glutamate-cysteine ligase "	-0.238	0.524
"B2689"	"B2689"	"B2689 orf, hypothetical protein "	-0.487	0.115
"B2690"	"yqaB"	"yqaB putative phosphatase "	-0.75	-0.072
"B2696"	"csrA"	"csrA carbon storage regulator; controls glycogen synthesis, gluconeogenesis, cell size and surface properties "	2.22	2.613
"B2697"	"alaS"	"alaS alanyl-tRNA synthetase "	0.25	0.916
"B2698"	"oraA"	"oraA regulator, OraA protein "		-0.809
"B2699"	"recA"	"recA DNA strand exchange and renaturation, DNA-dependent ATPase, DNA- and ATP-dependent coprotease "	0.231	0.177
"B2701"	"mltB"	"mltB membrane-bound lytic murein transglycosylase B "	-1.491	0.231
"B2702"	"srlA"	"srlA PTS system, glucitol/sorbitol-specific IIC component, one of two "	-1.872	
"B2703"	"srlE"	"srlE PTS system, glucitol/sorbitol-specific IIB component and second of two IIC components "		
"B2705"	"srlD"	"srlD glucitol (sorbitol)-6-phosphate dehydrogenase "	-1.423	
"B2706"	"gutM"	"gutM glucitol operon activator "		
"B2707"	"srlR"	"srlR regulator for gut (srl), glucitol operon "	-0.997	
"B2708"	"gutQ"	"gutQ orf, hypothetical protein "		
"B2709"	"ygaA"	"ygaA putative 2-component transcriptional regulator "		-0.723
"B2712"	"hypF"	"hypF transcriptional regulatory protein "		-1.235
"B2714"	"ascG"	"ascG ascBF operon repressor "		
"B2716"	"ascB"	"ascB 6-phospho-beta-glucosidase; cryptic "		
"B2717"	"hycI"	"hycI protease involved in processing C-terminal end of the large subunit of hydrogenase 3 "		
"B2719"	"hycG"	"hycG hydrogenase activity "		
"B2720"	"hycF"	"hycF probable iron-sulfur protein of hydrogenase 3 (part of FHL complex) "		
"B2721"	"hycE"	"hycE large subunit of hydrogenase 3 (part of FHL complex) "		-0.974
"B2722"	"hycD"	"hycD membrane-spanning protein of hydrogenase 3 (part of FHL complex) "		-1.115
"B2723"	"hycC"	"hycC membrane-spanning protein of hydrogenase 3 (part of FHL complex) "		
"B2724"	"hycB"	"hycB probable small subunit of hydrogenase-3, iron-sulfur protein (part of formate hydrogenlyase (FHL) complex) "		-1.398
"B2729"	"hypD"	"hypD pleiotrophic effects on 3 hydrogenase isozymes "		
"B2730"	"hypE"	"hypE plays structural role in maturation of all 3 hydrogenases "	-1.158	-0.531
"B2732"	"ygbA"	"ygbA orf, hypothetical protein "		-0.746
"B2733"	"mutS"	"mutS methyl-directed mismatch repair "	-2.46	-1.876
"B2734"	"pphB"	"pphB protein phosphatase 2 "		
"B2735"	"ygbI"	"ygbI putative DEOR-type transcriptional regulator "		-0.703
"B2737"	"B2737"	"B2737 orf, hypothetical protein "		-0.384
"B2739"	"ygbM"	"ygbM orf, hypothetical protein "		
"B2741"	"rpoS"	"rpoS RNA polymerase, sigma S (sigma38) factor; synthesis of many growth phase related proteins "	1.092	2.986
"B2742"	"nlpD"	"nlpD lipoprotein "	2.411	3.735
"B2743"	"pcm"	"pcm L-isoaspartate protein carboxylmethyltransferase type II "	-0.547	0.671
"B2744"	"surE"	"surE survival protein "	-0.147	-0.296
"B2745"	"ygbO"	"ygbO putative hydrogenase subunit "	-0.195	0.035
"B2746"	"ygbB"	"ygbB orf, hypothetical protein "	-0.839	-0.927
"B2747"	"ygbP"	"ygbP orf, hypothetical protein "	-1.215	-1.045
"B2748"	"B2748"	"B2748 orf, hypothetical protein "	-0.54	-0.155
"B2749"	"ygbE"	"ygbE putative cytochrome oxidase subunit "		0.1
"B2750"	"cysC"	"cysC adenosine 5'-phosphosulfate kinase "		0.04
"B2751"	"cysN"	"cysN ATP-sulfurylase (ATP:sulfate adenylyltransferase), subunit 1, probably a GTPase "		0.456
"B2752"	"cysD"	"cysD ATP:sulfurylase (ATP:sulfate adenylyltransferase), subunit 2 "		0.94
"B2753"	"iap"	"iap alkaline phosphatase isozyme conversion, aminopeptidase "		-0.381
"B2754"	"ygbF"	"ygbF orf, hypothetical protein "		-0.935
"B2755"	"B2755"	"B2755 orf, hypothetical protein "		
"B2756"	"B2756"	"B2756 orf, hypothetical protein "		-1.605
"B2757"	"B2757"	"B2757 orf, hypothetical protein "		-1.878
"B2758"	"B2758"	"B2758 orf, hypothetical protein "		-2.247
"B2761"	"ygcB"	"ygcB orf, hypothetical protein "		
"B2764"	"cysJ"	"cysJ sulfite reductase (NADPH), flavoprotein beta subunit "		-0.1
"B2766"	"ygcN"	"ygcN orf, hypothetical protein "	-1.74	-0.337
"B2768"	"ygcP"	"ygcP putative anti-terminator regulatory protein "		
"B2769"	"ygcQ"	"ygcQ putative flavoprotein "	-2.431	-1.616
"B2777"	"ygcF"	"ygcF orf, hypothetical protein "	-1.46	-0.307
"B2778"	"ygcG"	"ygcG orf, hypothetical protein "		-1.236
"B2779"	"eno"	"eno enolase "	2.047	3.489
"B2780"	"pyrG"	"pyrG CTP synthetase "	1.789	1.169
"B2781"	"mazG"	"mazG orf, hypothetical protein "	-0.62	0.148
"B2782"	"chpA"	"chpA probable growth inhibitor, PemK-like, autoregulated "		
"B2783"	"chpR"	"chpR suppressor of inhibitory function of ChpA, PemI-like, autoregulated "		
"B2784"	"relA"	"relA (p)ppGpp synthetase I (GTP pyrophosphokinase); regulation of RNA synthesis; stringent factor "	-1.343	-0.529
"B2785"	"ygcA"	"ygcA putative enzyme "	-0.643	0.405
"B2786"	"BarA"	"BarA sensor-regulator, activates OmpR by phophorylation "	-1.915	-0.869
"B2787"	"ygcX"	"ygcX putative glucarate dehydratase "		
"B2788"	"ygcY"	"ygcY putative glucarate dehydratase "		
"B2789"	"B2789"	"B2789 putative transport protein "		-0.535
"B2791"	"yqcB"	"yqcB orf, hypothetical protein "		-0.106
