"Object ID"	"Polypeptides"	"Synonyms"	"Molecular-Weight-KiloDaltons"
"G7900-MONOMER"	G7900-MONOMER	"InsG"	50.386 // 47.0
"G7904-MONOMER"	G7904-MONOMER	"InsN-2"	10.344
"G7906-MONOMER"	G7906-MONOMER	"InsO-2"	22.265
"G7911-MONOMER"	G7911-MONOMER	"YjhH"	32.722
"G7917-MONOMER"	G7917-MONOMER	"YjhQ" // "KpLE2 phage-like element; antitoxin of the TopAI-YjhQ toxin-antitoxin system; putative acetyltransferase"	19.957
"G7913-MONOMER"	G7913-MONOMER	"YjhJ" // "SgcR"	29.268
"G7912-MONOMER"	G7912-MONOMER	"YjhI"	29.877
"G7909-MONOMER"	G7909-MONOMER	"YjhU"	36.112
"SGCB-MONOMER"	SGCB-MONOMER	"YjhO" // "SgcX"	40.615
"G7914-MONOMER"	G7914-MONOMER	"YjhK" // "SgcE"	23.214
"G7918-MONOMER"	G7918-MONOMER	"YjhR"	37.997
"EG12364-MONOMER"	EG12364-MONOMER	"YjgC" // "IntB"	45.582
"G7903-MONOMER"	G7903-MONOMER	"YjhE"	8.714
"G7916-MONOMER"	G7916-MONOMER	"YjhP"	27.354
"G7915-MONOMER"	G7915-MONOMER	"YjhM" // "SgcQ"	29.355
"G7901-MONOMER"	G7901-MONOMER	"YjhC"	41.384
"G7898-MONOMER"	G7898-MONOMER	"YjgY"	13.956
"YJHF-MONOMER"	YJHF-MONOMER	"YjhF"	47.004
"G7907-MONOMER"	G7907-MONOMER	"YjhV"	15.067
"G7902-MONOMER"	G7902-MONOMER	"YjhD"	8.821
"MONOMER0-2695"	MONOMER0-2695	"YjhX" // "TopAI"	9.734
"G7899-MONOMER"	G7899-MONOMER	"YjgZ"	12.161
"MONOMER0-2840"	MONOMER0-2840	"YthA"	4.779
"TTDA-MONOMER"	TTDA-MONOMER	"YgjA" // "TtdA"	32.734 // 35.0
"TTDB-MONOMER"	TTDB-MONOMER	"YgjB" // "TtdB"	22.679 // 23.5
"G6108-MONOMER"	G6108-MONOMER	"YafK"	28.021
"G7073-MONOMER"	G7073-MONOMER	"LdtA" // "YzzT" // "YeeG" // "ErfK"	34.411
"EG11253-MONOMER"	EG11253-MONOMER	"YcbB" // "LdtD"	67.812
"G6904-MONOMER"	G6904-MONOMER	"YnhG" // "LdtE"	36.082
"G6422-MONOMER"	G6422-MONOMER	"LdtB" // "YbiS"	33.325
"G6571-MONOMER"	G6571-MONOMER	"LdtC" // "YcfS"	34.636
"GLYCDEH-MONOMER"	GLYCDEH-MONOMER	"GldA"	38.712 // 39
"LACTALDREDUCT-MONOMER"	LACTALDREDUCT-MONOMER	"FucO"	40.513 // 39.0
"EG12387-MONOMER"	EG12387-MONOMER	"YgaF" // "LhgO"	46.082
"G6661-MONOMER"	G6661-MONOMER	"YcjH" // "YcjG"	34.674
"G7399-MONOMER"	G7399-MONOMER	"YgaW" // "AlaE"	16.949
"G6759-MONOMER"	G6759-MONOMER	"MnaT" // "YncA"	19.248 // 17.0
"YDEA-MONOMER"	YDEA-MONOMER	"YdeA" // "arabinose MFS transporter"	42.538
"ARABISOM-MONOMER"	ARABISOM-MONOMER	"AraA"	56.074
"ARTP-MONOMER"	ARTP-MONOMER		27.022
"ARTM-MONOMER"	ARTM-MONOMER		24.914
"ARTQ-MONOMER"	ARTQ-MONOMER		26.217
"ARTJ-MONOMER"	ARTJ-MONOMER		26.829 // 26.0
"YGGA-MONOMER"	YGGA-MONOMER	"YggA" // "ArgO"	23.176
"YJFU-MONOMER"	YJFU-MONOMER	"SgaA" // "YjfU" // "PtxA" // "EII<sup>Sga</sup>" // "EII<sup>Ula</sup>" // "Enzyme II<sup>Sga</sup>" // "Enzyme II<sup>Ula</sup>"	17.238
"YJFT-MONOMER"	YJFT-MONOMER	"SgaB" // "YjfT"	10.896
"SGAT-MONOMER"	SGAT-MONOMER	"YjfS" // "SgaT"	50.737
"G7855-MONOMER"	G7855-MONOMER	"YjfR" // "UlaG"	40.061
"ANSA-MONOMER"	ANSA-MONOMER	"AnsA" // "asparaginase I"	37.127 // 43.0
"ANSB-MONOMER"	ANSB-MONOMER	"AnsB" // "asparaginase II"	36.851
"ANSP-MONOMER"	ANSP-MONOMER	"YncF" // "AnsP" // "L-asparagine permease"	54.233
"L-ASPARTATE-OXID-MONOMER"	L-ASPARTATE-OXID-MONOMER	"Nic" // "NicB" // "NadB"	60.337 // 60.0
"CAIT-MONOMER"	CAIT-MONOMER	"YaaP" // "CaiT"	56.587 // 36.0
"G6906-MONOMER"	G6906-MONOMER	"CsdB" // "YnhB" // "SufS"	44.434 // 43.0
"FUCISOM-MONOMER"	FUCISOM-MONOMER	"FucI"	64.977
"EG10355-MONOMER"	EG10355-MONOMER	"FucU"	15.473
"FUCP-MONOMER"	FUCP-MONOMER	"FucP" // "FucP fucose MFS transporter"	47.545 // 32.0
"FUCULOKIN-MONOMER"	FUCULOKIN-MONOMER	"FucK"	52.259
"FUCPALDOL-MONOMER"	FUCPALDOL-MONOMER	"Prd" // "FucC" // "FucA"	23.775
"G7945-MONOMER"	G7945-MONOMER	"LgoD" // "YjjN"	36.448
"GLUCONOLACT-MONOMER"	GLUCONOLACT-MONOMER		
"XASA-MONOMER"	XASA-MONOMER	"GadC" // "AcsA" // "XasA" // "GadC GABA APC transporter" // "glutamic acid:&gamma;-aminobutyrate antiporter"	55.077
"GLNQ-MONOMER"	GLNQ-MONOMER		26.731
"GLNP-MONOMER"	GLNP-MONOMER		24.364
"GLNH-MONOMER"	GLNH-MONOMER	"GlnBP"	27.19
"L-GLN-FRUCT-6-P-AMINOTRANS-MONOMER"	L-GLN-FRUCT-6-P-AMINOTRANS-MONOMER	"GlmS"	66.894 // 70.8
"G7558-MONOMER"	G7558-MONOMER	"Gpr" // "MgrA" // "YghZ" // "AKR14A1"	38.832
"RHTB-MONOMER"	RHTB-MONOMER	"YigK" // "RhtB"	22.427
"IDONDEHYD-MONOMER"	IDONDEHYD-MONOMER	"YjgV" // "IdnD"	37.147
"YJGT-MONOMER"	YJGT-MONOMER	"YjgT" // "GntW" // "IdnT"	46.041
"EG10689-MONOMER"	EG10689-MONOMER	"Pcm"	23.258 // 24
"L-LACTDEHYDROGFMN-MONOMER"	L-LACTDEHYDROGFMN-MONOMER	"Lct" // "LctD" // "LldD"	42.728 // 43.0
"LIVK-MONOMER"	LIVK-MONOMER	"HrbC" // "HrbD" // "HrbB" // "LivK" // "LS-BP"	39.379
"G6458-MONOMER"	G6458-MONOMER	"LysO" // "YbjE"	32.34
"B4141-MONOMER"	B4141-MONOMER	"YjeH"	44.778
"ABC-MONOMER"	ABC-MONOMER	"MetD" // "Abc"	37.788
"METQ-MONOMER"	METQ-MONOMER	"MetQ" // "MetD" // "YaeC"	29.432
"METI-MONOMER"	METI-MONOMER	"MetD" // "YaeE"	23.256
"G7160-MONOMER"	G7160-MONOMER	"RhmD" // "YfaW"	44.226
"RHAMNISOM-MONOMER"	RHAMNISOM-MONOMER	"RhaA"	47.199 // 47.0
"EG11865-MONOMER"	EG11865-MONOMER	"YiiL" // "RhaM"	12.265
"G7859-MONOMER"	G7859-MONOMER	"YjfW" // "SgaU" // "UlaE"	32.007
"RIBULPEPIM-MONOMER"	RIBULPEPIM-MONOMER	"AraD"	25.519 // 25.5
"EG12287-MONOMER"	EG12287-MONOMER	"YiaS" // "SgbE"	25.561
"G7860-MONOMER"	G7860-MONOMER	"YjfX" // "SgaE" // "UlaF"	25.278
"LSERINEDEAM1-MONOMER"	LSERINEDEAM1-MONOMER	"SdaA" // "SDH1" // "L-SD" // "SDH-1" // "L-SD1"	48.907
"LSERINEDEAM2-MONOMER"	LSERINEDEAM2-MONOMER	"SdaB" // "SDH-2" // "L-SD2"	48.753
"LSERINEDEAM3-MONOMER"	LSERINEDEAM3-MONOMER	"YhaQ" // "YhaP" // "SdhY" // "TdcG" // "L-serine dehydratase 3"	48.522 // 46.0
"YGJE-MONOMER"	YGJE-MONOMER	"YgjC" // "YgjE" // "TtdT" // "TtdT tartrate/succinate DASS transporter"	52.906
"EG12293-MONOMER"	EG12293-MONOMER	"YiaY"	40.351
"RHTC-MONOMER"	RHTC-MONOMER	"YigJ" // "RhtC"	22.474
"EG12134-MONOMER"	EG12134-MONOMER	"YbiF" // "RhtA"	31.168
"G7406-MONOMER"	G7406-MONOMER	"YgaH"	12.024
"G7405-MONOMER"	G7405-MONOMER	"YgaZ" // "YgaZ L-valine LIV-E exporter"	26.108
"LYXK-MONOMER"	LYXK-MONOMER	"XylK" // "Lyx" // "YiaP" // "SgbK" // "LyxK"	55.155 // 55.0
"LACY-MONOMER"	LACY-MONOMER	"lactose/melibiose:H<sup>+</sup> symporter" // "lac permease" // "LacY" // "galactoside:proton symporter"	46.503
"EG11180-MONOMER"	EG11180-MONOMER	"YhdC" // "MscL"	14.957 // 17.0
"LAUROYLACYLTRAN-MONOMER"	LAUROYLACYLTRAN-MONOMER	"WaaM" // "HtrB" // "LpxL"	35.407
"MONOMER0-921"	MONOMER0-921	"LdrD"	3.917
"MONOMER0-4201"	MONOMER0-4201	"MgtL"	2.123
"EG11280-MONOMER"	EG11280-MONOMER	"LeuL"	3.146
"G6984-MONOMER"	G6984-MONOMER	"YeaS" // "LeuE" // "LeuE leucine RhtB transporter"	23.201
"LEUS-MONOMER"	LEUS-MONOMER	"Syl" // "LeuS" // "LeuRS"	97.234
"G6772-MONOMER"	G6772-MONOMER	"YddK"	36.241
"EG11112-MONOMER"	EG11112-MONOMER	"YcaA" // "Aat" // "leucyl, phenylalanyl-tRNA-protein transferase"	26.618
"EG11775-MONOMER"	EG11775-MONOMER	"YbfE"	11.28
"EG10381-MONOMER"	EG10381-MONOMER	"GlgX"	73.577
"LIPIDADISACCHARIDESYNTH-MONOMER"	LIPIDADISACCHARIDESYNTH-MONOMER	"PgsB" // "LpxB"	42.382 // 42.0
"G6660-MONOMER"	G6660-MONOMER	"YzzJ" // "Tpx" // "p20" // "scavengase" // "scavengase p20" // "thiol peroxidase"	17.835 // 20.0
"EG11486-MONOMER"	EG11486-MONOMER	"Wzx" // "YifJ" // "WzxE"	44.96
"G7170-MONOMER"	G7170-MONOMER	"YfbI" // "ArnT" // "PmrK"	62.543
"EG12180-MONOMER"	EG12180-MONOMER	"YbeG" // "CrcA" // "PagP"	21.77
"G7123-MONOMER"	G7123-MONOMER	"YegS"	32.039
"E3-MONOMER"	E3-MONOMER	"Lpd" // "Dhl" // "LpdA" // "E3 subunit"	50.688 // 56
"EG11796-MONOMER"	EG11796-MONOMER	"YjjF" // "Slr" // "LplA" // "Slr1" // "lipoyl-protein ligase A"	37.926 // 38.0
"G6637-MONOMER"	G6637-MONOMER	"LapA" // "YciS"	11.351
"EG12691-MONOMER"	EG12691-MONOMER	"YciM" // "LapB"	44.531 // 55.0
"EG11569-MONOMER"	EG11569-MONOMER	"LptD" // "YabG" // "OstA" // "Imp"	89.671 // 110.0
"EG10855-MONOMER"	EG10855-MONOMER	"LptE" // "RlpB"	21.357 // 20.0
"EG11986-MONOMER"	EG11986-MONOMER	"WbbL" // "YefJ"	18.219
"EG11350-MONOMER"	EG11350-MONOMER	"WaaS" // "RfaS"	36.73
"EG11426-MONOMER"	EG11426-MONOMER	"WaaZ" // "RfaZ" // "protein involved in KdoIII attachment during lipopolysaccharide core biosynthesis"	32.92
"EG11340-MONOMER"	EG11340-MONOMER	"WaaP" // "RfaP"	30.872 // 33.0
"EG11425-MONOMER"	EG11425-MONOMER	"WaaY" // "RfaY"	27.461
"EG11341-MONOMER"	EG11341-MONOMER	"WaaQ" // "RfaQ" // "HepIII"	38.731
"EG11339-MONOMER"	EG11339-MONOMER	"WaaG" // "RfaG"	42.284
"EG11423-MONOMER"	EG11423-MONOMER	"WaaU" // "RfaK" // "lipopolysaccharide core biosynthesis; heptosyl transferase IV; probably hexose transferase" // "lipopolysaccharide 1,2-<i>N</i>-acetylglucosaminetransferase"	41.729
"YHBG-MONOMER"	YHBG-MONOMER	"YhbG"	26.801 // 27.0
"YHBN-MONOMER"	YHBN-MONOMER	"YhbN"	20.127
"G7664-MONOMER"	G7664-MONOMER	"YrbK"	21.703
"G7888-MONOMER"	G7888-MONOMER	"YjgP"	40.358
"G7889-MONOMER"	G7889-MONOMER	"YjgQ"	39.619
"G6371-MONOMER"	G6371-MONOMER	"YbfN" // "ChiQ"	11.999
"G6507-MONOMER"	G6507-MONOMER	"YmcC" // "GfcB"	24.268
"G6702-MONOMER"	G6702-MONOMER	"YdbI" // "HslJ"	15.166 // 14.0
"EG12137-MONOMER"	EG12137-MONOMER	"NlpE" // "CutF" // "outer membrane lipoprotein NlpE, involved in surface sensing"	25.844
"EG12371-MONOMER"	EG12371-MONOMER	"YhbM" // "NlpI"	33.621
"YCFV-MONOMER"	YCFV-MONOMER	"YcfV"	25.438
"YCFU-MONOMER"	YCFU-MONOMER	"YcfU"	43.264
"YCFW-MONOMER"	YCFW-MONOMER	"YcfW"	45.344
"EG10548-MONOMER"	EG10548-MONOMER	"LspA" // "Lsp" // "signal peptidase II" // "leader peptidase II" // "SPase II" // "diacylglycerol prolipoprotein signal peptidase" // "premurein-leader peptidase" // "prolipoprotein signal peptidase"	18.156 // 18
"G6101-MONOMER"	G6101-MONOMER	"YafT"	29.606
"G6374-MONOMER"	G6374-MONOMER	"YbfP"	18.282
"G7035-MONOMER"	G7035-MONOMER	"YecR"	11.741
"EG11659-MONOMER"	EG11659-MONOMER	"YedD"	14.983
"G7316-MONOMER"	G7316-MONOMER	"YfgH"	17.705
"EG11152-MONOMER"	EG11152-MONOMER	"YfiB"	17.245
"G7538-MONOMER"	G7538-MONOMER	"YghG"	14.67
"G7695-MONOMER"	G7695-MONOMER	"YhdV"	7.452
"EG11924-MONOMER"	EG11924-MONOMER	"YjbF"	23.755
"G6704-MONOMER"	G6704-MONOMER	"YnbE"	6.84
"G7567-MONOMER"	G7567-MONOMER	"YqhH"	9.513
"EG10657-MONOMER"	EG10657-MONOMER	"NlpA"	29.424 // 29
"EG11306-MONOMER"	EG11306-MONOMER	"Lip" // "LipA"	36.072 // 36
"EG11591-MONOMER"	EG11591-MONOMER	"Cde" // "LipB" // "Lip" // "lipoyl-[acyl-carrier-protein]-protein-N-lipoyltransferase" // "lipoyl (octanoyl)-acyl carrier protein:protein transferase" // "lipoate-protein ligase B" // "lipoyl-protein ligase"	23.883 // 24 // 25
"EG10542-MONOMER"	EG10542-MONOMER	"Muc" // "Dir" // "Deg" // "LopA" // "CapR" // "Lon" // "DNA-binding, ATP-dependent protease La"	87.438
"EG10280-MONOMER"	EG10280-MONOMER	"Ttr" // "FadL"	48.542
"EG11383-MONOMER"	EG11383-MONOMER	"YzzB" // "ElbB" // "YhbL" // "sigma cross-reacting protein 27A (SCRP-27A)" // "isoprenoid biosynthesis protein with amidotransferase-like domain"	22.982
"GNTU-MONOMER"	GNTU-MONOMER	"GntU"	46.416
"LTAA-MONOMER"	LTAA-MONOMER	"LtaA" // "YbjU" // "LtaE"	36.495 // 36.5
"G7836-MONOMER"	G7836-MONOMER	"EpmB" // "YjeK"	38.75
"LYSDECARBOX-MONOMER"	LYSDECARBOX-MONOMER	"LdcI" // "CadA"	81.26 // 81.0
"LDC2-MONOMER"	LDC2-MONOMER	"LdcC" // "Ldc" // "LdcH" // "lysine decarboxylase, constitutive"	80.59 // 80.0
"LYSS-MONOMER"	LYSS-MONOMER	"HerC" // "AsuD" // "LysS" // "LysRSs"	57.603 // 63.0
"LYSU-MONOMER"	LYSU-MONOMER	"LysU"	57.827
"HISP-MONOMER"	HISP-MONOMER		28.653
"HISM-MONOMER"	HISM-MONOMER		26.87
"HISQ-MONOMER"	HISQ-MONOMER	"HisQ"	24.649
"ARGT-MONOMER"	ARGT-MONOMER		27.992
"LYSP-MONOMER"	LYSP-MONOMER	"CadR" // "LysP" // "LysP lysine  APC transporter"	53.576 // 40.0
"G7484-MONOMER"	G7484-MONOMER	"YgeR" // "putative DNA-binding transcriptional regulator"	26.565
"EG11345-MONOMER"	EG11345-MONOMER	"HslZ" // "HflD" // "YcfC"	22.948 // 23
"EG10739-MONOMER"	EG10739-MONOMER	"PldB"	38.978 // 38.5d0
"EG12455-MONOMER"	EG12455-MONOMER	"YgeD" // "LplT"	41.656
"G7688-MONOMER"	G7688-MONOMER	"YhcS" // "AaeR" // "QseA" // "quorum sensing transcriptional regulator of LYSR-type"	34.516
"G6622-MONOMER"	G6622-MONOMER	"YcgP" // "SltZ" // "EmtA" // "MltE"	22.227
"EG11438-MONOMER"	EG11438-MONOMER	"YceF"	21.691
"EG11450-MONOMER"	EG11450-MONOMER	"MaoP" // "YifE"	13.134
"EG12855-MONOMER"	EG12855-MONOMER	"YcbG" // "MatP"	17.693
"MACA"	MACA	"YbjY" // "MacA" // "macrolide efflux pump - membrane fusion protein"	40.624
"MACB"	MACB	"YbjZ"	70.702
"MALIC-NADP-MONOMER"	MALIC-NADP-MONOMER	"YpfF" // "MaeB"	82.417
"MALATE-DEHASE-MONOMER"	MALATE-DEHASE-MONOMER	"Mdh"	32.337
"MALIC-NAD-MONOMER"	MALIC-NAD-MONOMER	"MaeA" // "SfcA"	63.197 // 63
"MALATE-SYNTHASE"	MALATE-SYNTHASE	"Mas" // "AceB"	60.274
"MALSYNG-MONOMER"	MALSYNG-MONOMER	"Glc" // "GlcB"	80.488 // 82
"EG12069-MONOMER"	EG12069-MONOMER	"YojH" // "Mqo"	60.23
"EG10119-MONOMER"	EG10119-MONOMER	"BioC" // "malonyl-[acp] methyltransferase"	28.276
"MALTODEXGLUCOSID-MONOMER"	MALTODEXGLUCOSID-MONOMER	"MalZ"	69.041 // 65
"MALDEXPHOSPHORYL-MONOMER"	MALDEXPHOSPHORYL-MONOMER	"MalA" // "Blu" // "MalP"	90.522 // 82
"MALK-MONOMER"	MALK-MONOMER	"MalB"	40.99 // 43.0
"MALF-MONOMER"	MALF-MONOMER		57.013 // 40.0
"MALG-MONOMER"	MALG-MONOMER		32.225 // 22.0
"MALE-MONOMER"	MALE-MONOMER	"MBP" // "maltodextrin binding protein" // "maltose binding protein"	43.388 // 44.0
"MALTACETYLTRAN-MONOMER"	MALTACETYLTRAN-MONOMER	"Maa" // "YlaD"	20.096 // 20.0
"EG10528-MONOMER"	EG10528-MONOMER	"MalL" // "MalB" // "LamB"	49.912 // 47.0
"EG10559-MONOMER"	EG10559-MONOMER	"MolA" // "MalM"	31.943 // 37
"G6839-MONOMER"	G6839-MONOMER	"RspA" // "starvation-sensing protein RspA"	45.968
"G6999-MONOMER"	G6999-MONOMER	"MntP" // "YebN"	20.117
"MANNPDEHYDROG-MONOMER"	MANNPDEHYDROG-MONOMER	"MtlD"	41.139 // 40.0
"CMTB-MONOMER"	CMTB-MONOMER	"TolM" // "Enzyme IIA<sup>Cmt</sup>" // "EIIA<sup>Cmt</sup>" // "Enzyme III<sup>Cmt</sup>"	16.046
"CMTA-MONOMER"	CMTA-MONOMER	"EIICB<sup>Cmt</sup>" // "Enzyme IICB<sup>Cmt</sup>"	48.971
"MTLA-MONOMER"	MTLA-MONOMER	"MtlC" // "MtlA"	67.972
"EG11288-MONOMER"	EG11288-MONOMER	"Mak" // "YajF"	32.5
"MANNKIN-MONOMER"	MANNKIN-MONOMER		
"MANNPGUANYLTRANGDP-MONOMER"	MANNPGUANYLTRANGDP-MONOMER	"RfbM" // "Mni" // "ManC" // "CpsB"	53.016
"MANNPISOM-MONOMER"	MANNPISOM-MONOMER	"Pmi" // "ManA"	42.85 // 42.0
"MANX-MONOMER"	MANX-MONOMER	"ManX" // "Mpt" // "PtsX" // "PtsM" // "PtsL" // "GptB" // "IIIMan" // "Enzyme III<sup>man</sup>" // "Enzyme IIAB<sup>man</sup>"	35.048 // 35.0
"MANY-MONOMER"	MANY-MONOMER	"PtsM" // "Pel" // "PtsX" // "PtsP" // "II-P<sup>man</sup>" // "II-Man" // "IICMan" // "Enzyme IIC<sup>man</sup>"	27.636 // 25.0
"MANZ-MONOMER"	MANZ-MONOMER	"Mpt" // "PtsX" // "PtsM" // "GptB" // "II-M<sup>man</sup>" // "IIDMan" // "Enzyme IID<sup>man</sup>"	30.955 // 27.0
"MONOMER0-2659"	MONOMER0-2659	"YbdZ"	8.271
"MELB-MONOMER"	MELB-MONOMER	"MelB" // "MelB GPH transporter"	52.636 // 52
"EG11548-MONOMER"	EG11548-MONOMER	"RhlF" // "Lhr"	169.38
"YIDC"	YIDC	"YidC"	61.526
"MONOMER0-2692"	MONOMER0-2692	"YidD"	9.381 // 14.0
"G7457-MONOMER"	G7457-MONOMER	"YgdM" // "Mlt" // "MltA" // "Mlt38"	40.411 // 38.0
"G7410-MONOMER"	G7410-MONOMER	"MltB" // "Slt" // "Slt35"	40.256 // 36
"G7533-MONOMER"	G7533-MONOMER	"YggZ" // "MltC"	40.113
"EG10246-MONOMER"	EG10246-MONOMER	"YafG" // "MltD" // "DniR"	49.417
"EG11373-MONOMER"	EG11373-MONOMER	"YfhD" // "MltF"	58.302
"MONOMER0-1922"	MONOMER0-1922	"YsdB" // "TisB" // "toxic peptide TisB"	3.222
"PITA-MONOMER"	PITA-MONOMER	"PitA" // "Pit"	53.389
"PITB-MONOMER"	PITB-MONOMER	"PitB"	53.809
"EG11291-MONOMER"	EG11291-MONOMER	"LoiP" // "YggG"	26.842 // 25.0
"EG10741-MONOMER"	EG10741-MONOMER	"Mcb" // "TldE" // "PmbA" // "protease involved in Microcin B17 maturation and in sensitivity to the DNA gyrase inhibitor LetD"	48.37 // 48.4
"G7689-MONOMER"	G7689-MONOMER	"YhdO" // "TldD" // "protease involved in Microcin B17 maturation and in sensitivity to the DNA gyrase inhibitor LetD"	51.364
"S-ADENMETSYN-MONOMER"	S-ADENMETSYN-MONOMER	"MetX" // "MetK"	41.952 // 43.0
"EG10570-MONOMER"	EG10570-MONOMER	"Map"	29.331 // 32.0
"EG11433-MONOMER"	EG11433-MONOMER	"Pms" // "PmsR" // "MsrA"	23.315 // 24.0
"EG12394-MONOMER"	EG12394-MONOMER	"YeaA" // "MsrB"	15.451
"METG-MONOMER"	METG-MONOMER	"MetG" // "MetRS"	76.255 // 85.0
"G6329-MONOMER"	G6329-MONOMER	"YbdL"	42.963
"TAP-MONOMER"	TAP-MONOMER	"Tap" // "Tap dimer" // "MCP-IV" // "dipeptide chemoreceptor protein" // "chemotaxis signaling protein IV"	57.512 // 65.0
"TAR-MONOMER"	TAR-MONOMER	"CheM" // "MCP-II" // "aspartate chemoreceptor protein" // "Tar dimer" // "chemotaxis signaling protein II"	59.944 // 60.0
"TRG-MONOMER"	TRG-MONOMER	"MCP-III" // "ribose/galactose/glucose chemoreceptor protein" // "Trg" // "Trg dimer" // "chemotaxis signaling protein III"	58.899
"TSR-MONOMER"	TSR-MONOMER	"CheD" // "Tsr" // "serine chemoreceptor protein" // "Tsr dimer" // "MCP-I" // "chemotaxis signaling protein I"	59.443 // 60.0
"EG10612-MONOMER"	EG10612-MONOMER	"Mrr"	33.52 // 34
"EG10668-MONOMER"	EG10668-MONOMER	"Ogt" // "O-6-alkylguanine-DNA/Cysteine-protein-methyltransferase" // "MTase II" // "O6AG ATase" // "O<sup>6</sup>-alkylguanine-DNA-alkyltransferase"	19.179 // 19.0
"METHYLGLYREDUCT-MONOMER"	METHYLGLYREDUCT-MONOMER		43.0d0
"MONOMER0-148"	MONOMER0-148	"DkgA" // "YqhE" // "AKR5C2"	31.11 // 29.0
"MONOMER0-149"	MONOMER0-149	"DkgB" // "YafB" // "AKR3F2"	29.437 // 29.0
"G6967-MONOMER"	G6967-MONOMER	"YeaE"	30.987
"METHGLYSYN-MONOMER"	METHGLYSYN-MONOMER	"Mgs" // "YccG" // "MgsA"	16.919 // 17.0
"G7516-MONOMER"	G7516-MONOMER	"ScpB" // "YgfG"	29.173
"METHYLMALONYL-COA-EPIM-MONOMER"	METHYLMALONYL-COA-EPIM-MONOMER		
"METHYLMALONYL-COA-MUT-MONOMER"	METHYLMALONYL-COA-MUT-MONOMER	"YliK" // "Sbm" // "ScpA"	77.871 // 78.0
"EG11445-MONOMER"	EG11445-MONOMER	"YgfD" // "ArgK" // "GTPase that interacts with methylmalonyl-CoA mutase"	36.704 // 37.0
"PHNL-MONOMER"	PHNL-MONOMER	"PhnL"	24.705
"EG11497-MONOMER"	EG11497-MONOMER	"YhdI" // "PrmA" // "methylase for 50S ribosomal subunit protein L11" // "methyltransferase of 50S ribosomal subunit protein L11"	31.877 // 31.0
"MGTA-MONOMER"	MGTA-MONOMER	"Mtg" // "Mgt" // "CorB" // "AtmA" // "MgtA"	99.466
"G7840-MONOMER"	G7840-MONOMER	"YjeP" // "MscM"	123.967
"G6323-MONOMER"	G6323-MONOMER	"YbdG"	46.603
"G6973-MONOMER"	G6973-MONOMER	"YeaK" // "ProXp-y" // "ProXp-ST1"	17.851
"G7063-MONOMER"	G7063-MONOMER	"YeeI" // "MtfA"	30.279
"YFEP-MONOMER"	YFEP-MONOMER	"MntA" // "MntH" // "YfeP"	44.194
"MONOMER0-1501"	MONOMER0-1501	"MoaB"	18.665
"G6417-MONOMER"	G6417-MONOMER	"YbiO"	81.904
"EG11113-MONOMER"	EG11113-MONOMER	"YccA"	23.363
"G6097-MONOMER"	G6097-MONOMER	"YaeO" // "Rof"	9.48
"G7610-MONOMER"	G7610-MONOMER	"EcfM" // "YqjB" // "MzrA"	14.172
"G7744-MONOMER"	G7744-MONOMER	"YrfI" // "HslO" // "Hsp33"	32.534
"MODC-MONOMER"	MODC-MONOMER	"NarD" // "ChlD"	39.102 // 37.0
"MODB-MONOMER"	MODB-MONOMER	"TslJ" // "ChlJ"	24.939 // 24.0
"MODA-MONOMER"	MODA-MONOMER		27.364 // 25.0
"EG11992-MONOMER"	EG11992-MONOMER	"DinO" // "SosF" // "MolR_1" // "MolR" // "YehH" // "YehG" // "YehF"	30.613
"G7496-MONOMER"	G7496-MONOMER	"YgfJ" // "MocA"	21.514
"EG11829-MONOMER"	EG11829-MONOMER	"Mob" // "NarB" // "ChlB" // "MobA" // "molybdopterin-guanine dinucleotide, protein Ar" // "protein FA"	21.643 // 22.0
"G6154-MONOMER"	G6154-MONOMER	"PaoD" // "YagQ"	34.954
"EG11511-MONOMER"	EG11511-MONOMER	"YaaG" // "MogA" // "ChlG" // "BisD" // "Mog"	21.222
"EG10153-MONOMER"	EG10153-MONOMER	"NarE" // "ChlE" // "BisB" // "MoeA"	44.067 // 44.0
"EG11598-MONOMER"	EG11598-MONOMER	"MoaE" // "molybdopterin synthase large subunit"	16.981 // 16.851
"EG11597-MONOMER"	EG11597-MONOMER	"ChlM" // "MoaD" // "molybdopterin synthase small subunit"	8.758 // 8.76
"G6952-MONOMER"	G6952-MONOMER	"YnjE" // "YnjE sulfurtransferase"	48.229
"EG11828-MONOMER"	EG11828-MONOMER	"YihC" // "MobB"	19.363 // 19.5
"EG10154-MONOMER"	EG10154-MONOMER	"ChlN" // "MoeB"	26.719 // 25.0
"EG10144-MONOMER"	EG10144-MONOMER	"YdjD" // "ChbF" // "CelF"	50.512 // 50.0
"MOTA-FLAGELLAR-MOTOR-STATOR-PROTEIN"	MOTA-FLAGELLAR-MOTOR-STATOR-PROTEIN	"FlaJ" // "MotA"	32.011
"MOTB-FLAGELLAR-MOTOR-STATOR-PROTEIN"	MOTB-FLAGELLAR-MOTOR-STATOR-PROTEIN	"FlaJ" // "MotB"	34.186
"G7572-MONOMER"	G7572-MONOMER	"YgiU" // "MqsR"	11.232
"YBHF-MONOMER"	YBHF-MONOMER	"YbhF"	63.132
"YBHR-MONOMER"	YBHR-MONOMER	"YbhR"	41.566
"YBHS-MONOMER"	YBHS-MONOMER	"YbhS"	42.06
