"Object ID"	"Protein-Complexes"	"Synonyms"	"Molecular-Weight-KiloDaltons"
"CPLX0-263"	CPLX0-263	"asparaginase 3"	66.0
"MENF-MONOMER"	MENF-MONOMER	"YfbA" // "MenF" // "isochorismate synthase 2"	48.765 // 49
"ISOCITDEH-SUBUNIT"	ISOCITDEH-SUBUNIT	"IcdE" // "IcdA" // "Icd"	45.757
"ICITDEHASE-KIN-PHOSPHA"	ICITDEHASE-KIN-PHOSPHA	"AceK"	67.699 // 66.0
"ISOCIT-LYASE-MONOMER"	ISOCIT-LYASE-MONOMER	"Icl" // "AceA"	47.522 // 48.0
"EG12600-MONOMER"	EG12600-MONOMER	"YjjX"	18.213
"KEFC-MONOMER"	KEFC-MONOMER	"TrkC" // "KefC"	67.796
"KCH-MONOMER"	KCH-MONOMER	"Kch"	46.063 // 43.0
"ATPASE-1-CPLX"	ATPASE-1-CPLX	"Kdp-ATPase"	
"PHOSPHO-KDPE"	PHOSPHO-KDPE		25.36211
"KETOLREDUCTOISOM-MONOMER"	KETOLREDUCTOISOM-MONOMER	"IlvC"	54.069 // 53.0
"KDPGALDOL-4OH2OXOGLUTARALDOL-MONOMER"	KDPGALDOL-4OH2OXOGLUTARALDOL-MONOMER	"Kga" // "Hga" // "KdgA" // "Eda"	22.284 // 22.0
"LTARTDEHYDRA-CPLX"	LTARTDEHYDRA-CPLX	"L-Ttd"	105.0
"GLYCDEH-MONOMER"	GLYCDEH-MONOMER	"GldA"	38.712 // 39
"LACTALDREDUCT-MONOMER"	LACTALDREDUCT-MONOMER	"FucO"	40.513 // 39.0
"G6759-MONOMER"	G6759-MONOMER	"MnaT" // "YncA"	19.248 // 17.0
"ARABISOM-MONOMER"	ARABISOM-MONOMER	"AraA"	56.074
"ABC-4-CPLX"	ABC-4-CPLX		
"EIISGA"	EIISGA	"EII<sup>Sga</sup>" // "EII<sup>Ula</sup>" // "Enzyme II<sup>Sga</sup>" // "Enzyme II<sup>Ula</sup>"	
"G7855-MONOMER"	G7855-MONOMER	"YjfR" // "UlaG"	40.061
"ANSA-MONOMER"	ANSA-MONOMER	"AnsA" // "asparaginase I"	37.127 // 43.0
"ANSB-MONOMER"	ANSB-MONOMER	"AnsB" // "asparaginase II"	36.851
"CAIT-MONOMER"	CAIT-MONOMER	"YaaP" // "CaiT"	56.587 // 36.0
"G6906-MONOMER"	G6906-MONOMER	"CsdB" // "YnhB" // "SufS"	44.434 // 43.0
"FUCISOM-MONOMER"	FUCISOM-MONOMER	"FucI"	64.977
"EG10355-MONOMER"	EG10355-MONOMER	"FucU"	15.473
"FUCPALDOL-MONOMER"	FUCPALDOL-MONOMER	"Prd" // "FucC" // "FucA"	23.775
"ABC-12-CPLX"	ABC-12-CPLX		
"L-GLN-FRUCT-6-P-AMINOTRANS-MONOMER"	L-GLN-FRUCT-6-P-AMINOTRANS-MONOMER	"GlmS"	66.894 // 70.8
"METNIQ-METHIONINE-ABC-CPLX"	METNIQ-METHIONINE-ABC-CPLX		
"G7160-MONOMER"	G7160-MONOMER	"RhmD" // "YfaW"	44.226
"RHAMNISOM-MONOMER"	RHAMNISOM-MONOMER	"RhaA"	47.199 // 47.0
"EG11865-MONOMER"	EG11865-MONOMER	"YiiL" // "RhaM"	12.265
"RIBULPEPIM-MONOMER"	RIBULPEPIM-MONOMER	"AraD"	25.519 // 25.5
"LSERINEDEAM3-MONOMER"	LSERINEDEAM3-MONOMER	"YhaQ" // "YhaP" // "SdhY" // "TdcG" // "L-serine dehydratase 3"	48.522 // 46.0
"CPLX0-7684"	CPLX0-7684	"YgaZ/YgaH L-valine exporter complex"	
"LYXK-MONOMER"	LYXK-MONOMER	"XylK" // "Lyx" // "YiaP" // "SgbK" // "LyxK"	55.155 // 55.0
"EG11180-MONOMER"	EG11180-MONOMER	"YhdC" // "MscL"	14.957 // 17.0
"ABC-304-CPLX"	ABC-304-CPLX		
"LIPIDADISACCHARIDESYNTH-MONOMER"	LIPIDADISACCHARIDESYNTH-MONOMER	"PgsB" // "LpxB"	42.382 // 42.0
"G6660-MONOMER"	G6660-MONOMER	"YzzJ" // "Tpx" // "p20" // "scavengase" // "scavengase p20" // "thiol peroxidase"	17.835 // 20.0
"EG12180-MONOMER"	EG12180-MONOMER	"YbeG" // "CrcA" // "PagP"	21.77
"E3-MONOMER"	E3-MONOMER	"Lpd" // "Dhl" // "LpdA" // "E3 subunit"	50.688 // 56
"CPLX0-7992"	CPLX0-7992		
"CPLX0-7628"	CPLX0-7628		107.0
"EG12371-MONOMER"	EG12371-MONOMER	"YhbM" // "NlpI"	33.621
"ABC-62-CPLX"	ABC-62-CPLX		
"EG11306-MONOMER"	EG11306-MONOMER	"Lip" // "LipA"	36.072 // 36
"EG10542-MONOMER"	EG10542-MONOMER	"Muc" // "Dir" // "Deg" // "LopA" // "CapR" // "Lon" // "DNA-binding, ATP-dependent protease La"	87.438
"LTAA-MONOMER"	LTAA-MONOMER	"LtaA" // "YbjU" // "LtaE"	36.495 // 36.5
"ABC-3-CPLX"	ABC-3-CPLX		
"LYSDECARBOX-MONOMER"	LYSDECARBOX-MONOMER	"LdcI" // "CadA"	81.26 // 81.0
"LDC2-MONOMER"	LDC2-MONOMER	"LdcC" // "Ldc" // "LdcH" // "lysine decarboxylase, constitutive"	80.59 // 80.0
"LYSS-MONOMER"	LYSS-MONOMER	"HerC" // "AsuD" // "LysS" // "LysRSs"	57.603 // 63.0
"LYSU-MONOMER"	LYSU-MONOMER	"LysU"	57.827
"EG12855-MONOMER"	EG12855-MONOMER	"YcbG" // "MatP"	17.693
"TRANS-200-CPLX"	TRANS-200-CPLX	"YbjYZ"	
"MALIC-NADP-MONOMER"	MALIC-NADP-MONOMER	"YpfF" // "MaeB"	82.417
"MALATE-DEHASE-MONOMER"	MALATE-DEHASE-MONOMER	"Mdh"	32.337
"MALIC-NAD-MONOMER"	MALIC-NAD-MONOMER	"MaeA" // "SfcA"	63.197 // 63
"MALDEXPHOSPHORYL-MONOMER"	MALDEXPHOSPHORYL-MONOMER	"MalA" // "Blu" // "MalP"	90.522 // 82
"ABC-16-CPLX"	ABC-16-CPLX		
"MALTACETYLTRAN-MONOMER"	MALTACETYLTRAN-MONOMER	"Maa" // "YlaD"	20.096 // 20.0
"EG10528-MONOMER"	EG10528-MONOMER	"MalL" // "MalB" // "LamB"	49.912 // 47.0
"CPLX-156"	CPLX-156	"EII<sup>Cmt</sup>" // "Enzyme II<sup>Cmt</sup>"	
"MTLA-MONOMER"	MTLA-MONOMER	"MtlC" // "MtlA"	67.972
"CPLX-165"	CPLX-165	"EII<sup>man</sup>" // "Enzyme II <sup>mannose</sup>"	
"MANX-MONOMER"	MANX-MONOMER	"ManX" // "Mpt" // "PtsX" // "PtsM" // "PtsL" // "GptB" // "IIIMan" // "Enzyme III<sup>man</sup>" // "Enzyme IIAB<sup>man</sup>"	35.048 // 35.0
"CPLX0-1242"	CPLX0-1242	"MazE-MazF \"addiction module\"" // "MazFE" // "MazEF"	
"CPLX0-2661"	CPLX0-2661		
"TMAOREDUCTI-CPLX"	TMAOREDUCTI-CPLX	"TorCA"	
"S-ADENMETSYN-MONOMER"	S-ADENMETSYN-MONOMER	"MetX" // "MetK"	41.952 // 43.0
"METG-MONOMER"	METG-MONOMER	"MetG" // "MetRS"	76.255 // 85.0
"TAP-MONOMER"	TAP-MONOMER	"Tap" // "Tap dimer" // "MCP-IV" // "dipeptide chemoreceptor protein" // "chemotaxis signaling protein IV"	57.512 // 65.0
"TAR-MONOMER"	TAR-MONOMER	"CheM" // "MCP-II" // "aspartate chemoreceptor protein" // "Tar dimer" // "chemotaxis signaling protein II"	59.944 // 60.0
"TRG-MONOMER"	TRG-MONOMER	"MCP-III" // "ribose/galactose/glucose chemoreceptor protein" // "Trg" // "Trg dimer" // "chemotaxis signaling protein III"	58.899
"TSR-MONOMER"	TSR-MONOMER	"CheD" // "Tsr" // "serine chemoreceptor protein" // "Tsr dimer" // "MCP-I" // "chemotaxis signaling protein I"	59.443 // 60.0
"METHGLYSYN-MONOMER"	METHGLYSYN-MONOMER	"Mgs" // "YccG" // "MgsA"	16.919 // 17.0
"G7516-MONOMER"	G7516-MONOMER	"ScpB" // "YgfG"	29.173
"METHYLMALONYL-COA-MUT-MONOMER"	METHYLMALONYL-COA-MUT-MONOMER	"YliK" // "Sbm" // "ScpA"	77.871 // 78.0
"CPLX0-7958"	CPLX0-7958		
"CPLX0-7796"	CPLX0-7796		
"G7840-MONOMER"	G7840-MONOMER	"YjeP" // "MscM"	123.967
"G6323-MONOMER"	G6323-MONOMER	"YbdG"	46.603
"CPLX0-8255"	CPLX0-8255		
"CPLX0-7672"	CPLX0-7672		
"MONOMER0-1501"	MONOMER0-1501	"MoaB"	18.665
"G6417-MONOMER"	G6417-MONOMER	"YbiO"	81.904
"ABC-19-CPLX"	ABC-19-CPLX		
"G6154-MONOMER"	G6154-MONOMER	"PaoD" // "YagQ"	34.954
"EG11511-MONOMER"	EG11511-MONOMER	"YaaG" // "MogA" // "ChlG" // "BisD" // "Mog"	21.222
"EG10153-MONOMER"	EG10153-MONOMER	"NarE" // "ChlE" // "BisB" // "MoeA"	44.067 // 44.0
"CPLX0-2502"	CPLX0-2502	"MPT synthase"	
"EG11828-MONOMER"	EG11828-MONOMER	"YihC" // "MobB"	19.363 // 19.5
"EG10154-MONOMER"	EG10154-MONOMER	"ChlN" // "MoeB"	26.719 // 25.0
"EG10144-MONOMER"	EG10144-MONOMER	"YdjD" // "ChbF" // "CelF"	50.512 // 50.0
"CPLX0-7822"	CPLX0-7822	"MqsAR"	
"MONOMER0-2461"	MONOMER0-2461		
"CPLX0-7697"	CPLX0-7697		230.0
"ABC-57-CPLX"	ABC-57-CPLX		
"TRANS-CPLX-201"	TRANS-CPLX-201		
"CPLX0-3932"	CPLX0-3932		
"CPLX0-2141"	CPLX0-2141		
"CPLX0-2121"	CPLX0-2121		
"CPLX0-2161"	CPLX0-2161		
"TRANS-CPLX-202"	TRANS-CPLX-202		
"TRANS-CPLX-204"	TRANS-CPLX-204		
"EMRE-MONOMER"	EMRE-MONOMER	"MvrC" // "EmrE" // "EB<sup>R</sup>"	11.958 // 12
"YDGEF-CPLX"	YDGEF-CPLX	"MdtJI spermidine SMR transporter"	
"THIOESTERI-MONOMER"	THIOESTERI-MONOMER	"PldC" // "ApeA" // "TesA" // "long chain fatty acyl thioesterase I" // "lysophospholipase L<SUB>1</SUB>" // "lecithinase B" // "phospholipase B" // "thioesterase I" // "acyl-CoA thioesterase I"	23.622 // 30.0
"G7425-MONOMER"	G7425-MONOMER	"YgbT" // "Cas1"	33.194
"CPLX0-3970"	CPLX0-3970		
"G6662-MONOMER"	G6662-MONOMER	"YcjI" // "MpaA"	26.558
"MUTHLS-CPLX"	MUTHLS-CPLX		
"CPLX-155"	CPLX-155	"EII<sup>cel</sup>" // "EII<sup>chb</sup>" // "Enzyme II<sup>cel</sup>" // "Enzyme II <sup>chb</sup>"	
"CPLX0-7610"	CPLX0-7610		
"NAGE-MONOMER"	NAGE-MONOMER	"PtsN" // "PstN" // "NagE"	68.347
"NAG6PDEACET-MONOMER"	NAG6PDEACET-MONOMER	"NagA"	40.949 // 41
"N-ACETYLTRANSFER-MONOMER"	N-ACETYLTRANSFER-MONOMER	"ArgA"	49.195 // 51.7
"G7263-MONOMER"	G7263-MONOMER	"YfeU" // "MurQ"	31.22
"CPLX0-7"	CPLX0-7	"Enzyme II<sup>NAcMur</sup>" // "EII<sup>NAcMur</sup>"	
"ACNEULY-MONOMER"	ACNEULY-MONOMER	"Npl" // "NanA"	32.593 // 33.0
"G7920-MONOMER"	G7920-MONOMER	"YjhT" // "NanM"	39.572
"ACETYLORNTRANSAM-MONOMER"	ACETYLORNTRANSAM-MONOMER	"Dtu" // "DapC" // "ArgD"	43.767 // 39.9
"SUCCARGDIHYDRO-MONOMER"	SUCCARGDIHYDRO-MONOMER	"YdjT" // "AstB"	49.299
"PURE-MONOMER"	PURE-MONOMER	"Ade" // "purE1 peptide" // "AIR carboxylase subunit" // "catalytic subunit, AIR carboxylase" // "PurE"	17.78 // 17.0
"CPLX0-8182"	CPLX0-8182		
"CPLX0-8181"	CPLX0-8181		
"NHAA-MONOMER"	NHAA-MONOMER	"Hyc" // "Ant" // "AntA" // "NhaA"	41.356 // 35.0
"MONOMER0-541"	MONOMER0-541	"YfjE" // "NadK" // "YfjB"	32.566 // 30
"NAD-SYNTH-MONOMER"	NAD-SYNTH-MONOMER	"Efg" // "NtrL" // "NadE"	30.637 // 35.0
"DIHYDROPTERIREDUCT-MONOMER"	DIHYDROPTERIREDUCT-MONOMER	"Ntr" // "NfsB" // "DprA" // "NfnB"	23.905 // 27.0
"PD01343"	PD01343	"WrbA"	20.846 // 21
"G6811-MONOMER"	G6811-MONOMER	"YneI" // "Sad"	49.718 // 55.0
"CPLX0-7788"	CPLX0-7788		
"NQOR-CPLX"	NQOR-CPLX		50
"EG11702-MONOMER"	EG11702-MONOMER	"NudC" // "YjaD"	29.689 // 29
"NADH-DHI-CPLX"	NADH-DHI-CPLX	"NDH-1" // "NADH dhI" // "complex I" // "NADH dehydrogenase I"	550.0
"CPLX0-3361"	CPLX0-3361	"soluble NADH dehydrogenase fragment" // "connecting fragment of NADH dehydrogenase I"	
"SUCCSEMIALDDEHYDROG-MONOMER"	SUCCSEMIALDDEHYDROG-MONOMER	"GabD"	51.72
"G7564-MONOMER"	G7564-MONOMER	"YqhD"	42.097 // 43.0
"G6760-MONOMER"	G6760-MONOMER	"YncB" // "CurA"	37.61 // 38.0
"MONOMER0-146"	MONOMER0-146	"YcbP" // "SsuE"	21.253 // 25.4
"EG11261-MONOMER"	EG11261-MONOMER	"YbjB" // "NfsA" // "MdaA"	26.801 // 24.0
"EG12656-MONOMER"	EG12656-MONOMER	"MdaB" // "NADPH quinone reductase"	21.891 // 21
"EG10564-MONOMER"	EG10564-MONOMER	"MalY" // "bifunctional &beta;-cystathionase, PLP-dependent and regulator of maltose regulon"	43.642 // 42.0
"EG10735-MONOMER"	EG10735-MONOMER	"Pst" // "PhoT" // "PhoU"	27.417 // 27.0
"ABC-20-CPLX"	ABC-20-CPLX		
"DMBPPRIBOSYLTRANS-MONOMER"	DMBPPRIBOSYLTRANS-MONOMER	"CobT"	36.987
"CPLX0-7707"	CPLX0-7707		
"NITRATREDUCTA-CPLX"	NITRATREDUCTA-CPLX	"NRA" // "quinol:nitrate oxidoreductase"	
"NITRATREDUCTZ-CPLX"	NITRATREDUCTZ-CPLX	"NRZ" // "quinol:nitrate oxidoreductase"	
"NITRITREDUCT-CPLX"	NITRITREDUCT-CPLX	"NirB"	
"PROTEIN-PII2"	PROTEIN-PII2	"YbaI" // "GlnK" // "unmodified protein PII 2" // "[protein PII2]" // "PII2" // "nitrogen regulatory protein GlnK" // "nitrogen regulator PII 2"	12.259
"PROTEIN-PII"	PROTEIN-PII	"GlnB" // "[protein PII]" // "unmodified PII" // "PII" // "regulatory protein P-II; regulation of nitrogen metabolism and fatty acid biosynthesis"	12.425
"G7409-MONOMER"	G7409-MONOMER	"PncC" // "YgaD"	17.582 // 20.0
"EG11580-MONOMER"	EG11580-MONOMER	"YbiB"	35.049
"MONOMER0-4198"	MONOMER0-4198		
"EG11191-MONOMER"	EG11191-MONOMER	"YicB" // "Ttk" // "SlmA"	22.836
"NUCLEOSIDE-DIP-KIN-MONOMER"	NUCLEOSIDE-DIP-KIN-MONOMER	"Ndk"	15.463 // 16.5d0
"EG11298-MONOMER"	EG11298-MONOMER	"YhdE"	21.515
"EG10572-MONOMER"	EG10572-MONOMER	"MazG"	30.412
"EG10416-MONOMER"	EG10416-MONOMER	"GrpE" // "heat shock protein GrpE"	21.798 // 23.0
"CPLX0-7879"	CPLX0-7879	"NusB-NusE complex"	27.0
"G6550-MONOMER"	G6550-MONOMER	"YmdB"	18.88
"ACSERLYA-MONOMER"	ACSERLYA-MONOMER	"Ssi5" // "CysK"	34.49 // 34.0
"O-SUCCINYLBENZOATE-COA-LIG-MONOMER"	O-SUCCINYLBENZOATE-COA-LIG-MONOMER	"MenE"	50.185 // 49
"O-SUCCHOMOSERLYASE-MONOMER"	O-SUCCHOMOSERLYASE-MONOMER	"MetB"	41.55 // 40.0
"ABC-22-CPLX"	ABC-22-CPLX		
"G7842-MONOMER"	G7842-MONOMER	"YjeR" // "Orn"	20.816 // 20
"PHOSPHO-OMPR-MONOMER"	PHOSPHO-OMPR-MONOMER		
"CHAINF-MONOMER"	CHAINF-MONOMER	"ArgF" // "ornithine carbamoyltransferase chain F"	36.827
"CHAINI-MONOMER"	CHAINI-MONOMER	"ArgI" // "ornithine carbamoyltransferase chain I"	36.907
"ORNDECARBOX-BIO-MONOMER"	ORNDECARBOX-BIO-MONOMER	"SpeC"	79.416 // 82.0
"ORNDECARBOXDEG-MONOMER"	ORNDECARBOXDEG-MONOMER	"SpeF"	82.416 // 80.0
"OROPRIBTRANS-MONOMER"	OROPRIBTRANS-MONOMER	"PyrE"	23.567 // 23.0
"OROTPDECARB-MONOMER"	OROTPDECARB-MONOMER	"PyrF"	26.35 // 27
"PROP-MONOMER"	PROP-MONOMER	"ProP proline/betaine MFS transporter" // "ProP" // "proline permease II" // "proline porter II"	54.846 // 42.0
"EG10680-MONOMER"	EG10680-MONOMER	"OsmC" // "osmotically inducible protein"	15.088 // 14
"EG11009-MONOMER"	EG11009-MONOMER	"WeeA" // "Toc" // "RefI" // "MukA" // "MtcB" // "TolC"	53.741
"MONOMER0-341"	MONOMER0-341	"PldA" // "OMPLA" // "Outer Membrane Phospholipase A"	33.163 // 29.0
"EG10670-MONOMER"	EG10670-MONOMER	"Par" // "MeoA" // "outer membrane protein A<sub>2</sub>" // "outer membrane protein Ib" // "outer membrane protein 4" // "outer membrane protein 0-8" // "OmpC"	40.368
"EG10671-MONOMER"	EG10671-MONOMER	"NfxB" // "TolF" // "Cry" // "CmlB" // "outer membrane protein F" // "colB" // "outer membrane protein A<sub>1</sub>" // "outer membrane protein 1a" // "outer membrane protein 4" // "outer membrane protein b" // "outer membrane protein 0-9" // "OmpF"	39.333
"MONOMER0-282"	MONOMER0-282	"OmpE" // "outer membrane pore protein E (E,Ic,NmpAB)" // "PhoE" // "outer membrane phosphoporin"	38.922
"CPLX0-3933"	CPLX0-3933		203.0
"G7236-MONOMER"	G7236-MONOMER	"YfdU" // "Oxc"	60.581
"G6783-MONOMER"	G6783-MONOMER	"PdeO" // "YddU" // "Dos" // "DosP" // "c-di-GMP phosphodiesterase, heme-regulated"	90.26
"CPLX0-7844"	CPLX0-7844		206.0
"CPLX0-7988"	CPLX0-7988		
"PANTEPADENYLYLTRAN-MONOMER"	PANTEPADENYLYLTRAN-MONOMER	"YicA" // "KdtB" // "CoaD" // "PPAT"	17.837 // 18.4
"PANTOTHENATE-KIN-MONOMER"	PANTOTHENATE-KIN-MONOMER	"Rts" // "PanK" // "CoaA"	36.36
"PANTOATE-BETA-ALANINE-LIG-MONOMER"	PANTOATE-BETA-ALANINE-LIG-MONOMER	"PanC"	31.598 // 30.0
"PABSYNMULTI-CPLX"	PABSYNMULTI-CPLX		
"EG11132-MONOMER"	EG11132-MONOMER	"PpsR" // "YdiA"	31.211 // 25.0
"EG11676-MONOMER"	EG11676-MONOMER	"ClpQ" // "YiiC" // "HtpO" // "HslV"	19.093
"EG10695-MONOMER"	EG10695-MONOMER	"PepD" // "PepH"	52.915 // 52.0
"EG11549-MONOMER"	EG11549-MONOMER	"PepT"	44.923
"SBMA-MONOMER"	SBMA-MONOMER	"SbmA"	46.459
"EG10580-MONOMER"	EG10580-MONOMER	"MepA"	30.137 // 30.0
"CPLX0-8179"	CPLX0-8179	"LpoA-MrcA complex"	
"CPLX0-8178"	CPLX0-8178		
"EG10748-MONOMER"	EG10748-MONOMER	"PonA" // "MrcA" // "PBP1a" // "penicillin binding protein 1a"	93.636 // 91
"EG10605-MONOMER"	EG10605-MONOMER	"PonB" // "PbpF" // "PBP1B" // "PBP1Bs" // "MrcB"	94.292 // 91
"G7350-MONOMER"	G7350-MONOMER	"PatZ" // "Pka" // "YfiQ"	97.987
"EG11399-MONOMER"	EG11399-MONOMER	"YhhD" // "YhiC" // "HdeB" // "10K-L protein"	12.043 // 10
"EG10455-MONOMER"	EG10455-MONOMER	"Skp" // "OmpH" // "HlpA" // "HLP-I"	17.688 // 15 // 17
"G6104-MONOMER"	G6104-MONOMER	"Ivy" // "YkfE"	16.872
"NAP-CPLX"	NAP-CPLX	"Nap"	
"NRFMULTI-CPLX"	NRFMULTI-CPLX		
"APPA-MONOMER"	APPA-MONOMER	"AppA"	47.057 // 42.0
"G7816-MONOMER"	G7816-MONOMER	"CpxP" // "YiiO"	18.965
"CPLX0-8213"	CPLX0-8213	"quinol:protein L-methionine sulfoxide oxidoreductase"	
"G7682-MONOMER"	G7682-MONOMER	"HhoA" // "DegQ"	47.205
"EG10463-MONOMER"	EG10463-MONOMER	"Ptd" // "protease Do" // "HtrA" // "DegP"	49.354
"G7394-MONOMER"	G7394-MONOMER	"YgaT" // "CsiD"	37.36
"EG12391-MONOMER"	EG12391-MONOMER	"YdiE" // "conserved protein YdiE"	7.117
"PHENDEHYD-MONOMER"	PHENDEHYD-MONOMER	"YdbG" // "PadA" // "FeaB"	53.699 // 54.0
"CPLX0-1762"	CPLX0-1762		
"G6717-MONOMER"	G6717-MONOMER	"YdbV" // "PaaI"	14.851 // 14.7
"PHES-CPLX"	PHES-CPLX	"PheRS"	250
"G7492-MONOMER"	G7492-MONOMER	"YgeZ" // "HyuA"	51.025
"ABC-27-CPLX"	ABC-27-CPLX	"pstSCAB"	
"PHOSACETYLTRANS-MONOMER"	PHOSACETYLTRANS-MONOMER	"Pta"	77.172 // 81.0
"G7288-MONOMER"	G7288-MONOMER	"YpfA" // "EutD" // "EutI"	36.067
"PHOSPHASERDECARB-CPLX"	PHOSPHASERDECARB-CPLX		
"PHOSPHASERDECARB-DIMER"	PHOSPHASERDECARB-DIMER		
"PHOSPHASERSYN-MONOMER"	PHOSPHASERSYN-MONOMER	"Pss" // "PssA"	52.802
"PAPSSULFOTRANS-MONOMER"	PAPSSULFOTRANS-MONOMER	"CysH"	27.976 // 30.0
"G7192-MONOMER"	G7192-MONOMER	"YfcE"	20.122
"PEPCARBOX-MONOMER"	PEPCARBOX-MONOMER	"Glu" // "Asp" // "Ppc"	99.062
"PEPSYNTH-MONOMER"	PEPSYNTH-MONOMER	"Pps" // "PpsA"	87.435 // 84.0
"PGLYCDEHYDROG-MONOMER"	PGLYCDEHYDROG-MONOMER	"SerA"	44.176 // 40
"SAICARSYN-MONOMER"	SAICARSYN-MONOMER	"Ade" // "PurC"	26.995 // 27.0
"AIRS-MONOMER"	AIRS-MONOMER	"PurI" // "PurG" // "PurM"	36.854 // 38.5
"PHOSPHO-CPXR"	PHOSPHO-CPXR	"CpxR response regulator - phosphorylated"	26.312077
"PSERTRANSAM-MONOMER"	PSERTRANSAM-MONOMER	"SerC" // "PdxF" // "PdxC"	39.783 // 39
"CPLX0-7994"	CPLX0-7994	"UDP-<i>N</i>-acetyl-D-glucosamine &beta;-1,6-N-acetyl-D-glucosaminyl transferase" // "PgaCD" // "poly-&beta;-1,6-<i>N</i>-acetyl-D-glucosamine synthase" // "PGA synthase"	
"EG10743-MONOMER"	EG10743-MONOMER	"Bfl" // "Pnp"	77.101
"PPK-MONOMER"	PPK-MONOMER	"Ppk"	80.431 // 69.0
"CPLX0-7529"	CPLX0-7529		
"PORPHOBILSYNTH-MONOMER"	PORPHOBILSYNTH-MONOMER	"Ncf" // "HemB"	35.625 // 36.5
"CPLX0-1841"	CPLX0-1841		
"EG10244-MONOMER"	EG10244-MONOMER	"DnaT"	19.455
"EG10764-MONOMER"	EG10764-MONOMER	"PriB"	11.442
"CPLX0-3922"	CPLX0-3922		
"EG10697-MONOMER"	EG10697-MONOMER	"PepP"	49.815 // 50.0
"PROS-MONOMER"	PROS-MONOMER	"DrpA" // "Drp" // "ProS" // "ProRS"	63.693
"EG11105-MONOMER"	EG11105-MONOMER	"YbdB" // "EntH"	14.97 // 15
"EG10968-MONOMER"	EG10968-MONOMER	"SppA"	67.219 // 67.0
"DSBC-MONOMER"	DSBC-MONOMER	"XprA" // "DsbC"	25.622
"MONOMER0-1564"	MONOMER0-1564	"Gef" // "HokC" // "HokC, Gef toxin; interferes with membrane function when in excess"	5.502
"SECA"	SECA	"Pea" // "Azi" // "PrlD" // "SecA"	102.023
"G7055-MONOMER"	G7055-MONOMER	"YzzC" // "YedU" // "HchA" // "Hsp31" // "glyoxalase III" // "Maillard deglycase 1"	31.19 // 31
"HMP-KIN-MONOMER"	HMP-KIN-MONOMER	"YajL" // "ThiJ" // "chaperone, protecting proteins in response to oxidative stress" // "Maillard deglycase 3"	20.777
"PROTOPORGENOXI-MONOMER"	PROTOPORGENOXI-MONOMER	"YihB" // "HemG"	21.226
"EG12033-MONOMER"	EG12033-MONOMER	"PsuG" // "YeiN" // "PscG"	32.91
"PTSI-MONOMER"	PTSI-MONOMER	"Ctr" // "PtsI" // "EI"	63.562
"EG12172-MONOMER"	EG12172-MONOMER	"YcfF" // "HinT"	13.241
"DEOD-MONOMER"	DEOD-MONOMER	"Pup" // "DeoD"	25.95 // 23.7
"HCAMULTI-CPLX"	HCAMULTI-CPLX	"3-phenylpropionate dioxygenase complex" // "3-phenylpropionate dioxygenase system"	
"EG11761-MONOMER"	EG11761-MONOMER	"PptA" // "YdcE"	8.673
"CPLX0-8120"	CPLX0-8120		
"EG11811-MONOMER"	EG11811-MONOMER	"AidB" // "isovaleryl-CoA dehydrogenase and DNA-binding transcriptional repressor"	60.59 // 56.0
"G7489-MONOMER"	G7489-MONOMER	"YgeW"	44.187
"G7286-MONOMER"	G7286-MONOMER	"YffY" // "EutN" // "CchB"	9.956
"ABC-59-CPLX"	ABC-59-CPLX		
"G7626-MONOMER"	G7626-MONOMER	"YhaR" // "TdcF"	14.007
"EG11241-MONOMER"	EG11241-MONOMER	"YcaC"	23.1
"CPLX0-8238"	CPLX0-8238		
"G6895-MONOMER"	G6895-MONOMER	"YdhR"	11.288
"CPLX0-7807"	CPLX0-7807		
"EG11100-MONOMER"	EG11100-MONOMER	"YbaB" // "conserved DNA-binding protein YbaB"	12.015
"ABC-41-CPLX"	ABC-41-CPLX		
"EG11134-MONOMER"	EG11134-MONOMER	"YdjA"	20.059 // 20.0
"MONOMER0-1701"	MONOMER0-1701	"Sfa" // "YccL" // "GnsA"	6.576
"CPLX-159"	CPLX-159	"EII<sup>Frv</sup>" // "Enzyme II<sup>Frv</sup>"	
"CPLX-160"	CPLX-160	"EII<sup>Frw</sup>" // "Enzyme II<sup>Frw</sup>"	
"CPLX0-8119"	CPLX0-8119		
"EIISGC"	EIISGC	"EII<sup>Sgc</sup>" // "Enzyme II<sup>Sgc</sup>"	
"EG12657-MONOMER"	EG12657-MONOMER	"YgiN"	11.532 // 9.5d0
"QOR-MONOMER"	QOR-MONOMER	"Hzc" // "Hcz" // "Qor" // "QorA"	35.172
"EG12309-MONOMER"	EG12309-MONOMER	"LasT" // "YjtD"	25.259
"G7292-MONOMER"	G7292-MONOMER	"YpfE" // "EutS"	11.65
"G7271-MONOMER"	G7271-MONOMER	"YffJ" // "EutL"	22.788
"G7287-MONOMER"	G7287-MONOMER	"YffZ" // "EutM" // "CchA"	9.866
"ABC-21-CPLX"	ABC-21-CPLX		
"ABC-48-CPLX"	ABC-48-CPLX		
"ABC-61-CPLX"	ABC-61-CPLX		
"ABC-60-CPLX"	ABC-60-CPLX		
"ABC-52-CPLX"	ABC-52-CPLX		
"ABC-55-CPLX"	ABC-55-CPLX		
"ABC-51-CPLX"	ABC-51-CPLX		
