Frame ID	Name	Stoichiometry	Modified form	Comments
1-PFK	1-phosphofructokinase	((1-PFK-MONOMER, 2))	
CPLX0-7644	EfeU/EfeO/EfeB ferrous iron transporter; cryptic	((G6525-MONOMER, 1) (G6527-MONOMER, 1) (EG11735-MONOMER, 1))	
CPLX0-7645	L-fucose mutarotase	((EG10355-MONOMER, 6))	
CPLX0-7646	ribose pyranase	((EG10817-MONOMER, 10))	
CPLX0-7647	ribokinase	((RIBOKIN-MONOMER, 2))	
CPLX0-7648	anti-sigma factor	((G7348-MONOMER, 2))	
CPLX0-7649	L-rhamnose mutarotase	((EG11865-MONOMER, 2))	
CPLX0-7650	FucR-L-fuculose-1-phosphate DNA-binding transcriptional activator	((PD00444, 1) (FUCULOSE-1P, 1))	
CPLX0-7651	RutR-uracil	((PD01352, 1) (URACIL, 1))	
CPLX0-7652	L-rhamnose isomerase	((RHAMNISOM-MONOMER, 4))	
CPLX0-7653	water channel AqpZ	((AQPZ-MONOMER, 4))	
CPLX0-7654	glycerol channel GlpF	((GLPF-MONOMER, 4))	
CPLX0-7655	maltose outer membrane porin / phage lambda receptor protein	((EG10528-MONOMER, 3))	
CPLX0-7656	CcmCDE protoheme IX reservoir complex	((EG12169-MONOMER, 1) (CCME-MONOMER, 1) (CCMC-MONOMER, 1))	
CPLX0-7657	BglG-phosphate	((EG10116-MONOMER, 2))	
CPLX0-7658	<i>N</i>-acetylneuraminate mutarotase	((G7920-MONOMER, 2))	
CPLX0-7659	fused diaminohydroxyphosphoribosylaminopyrimidine deaminase / 5-amino-6-(5-phosphoribosylamino)uracil reductase	((RIBOFLAVINSYNDEAM-MONOMER, 2))	
CPLX0-7660	D-sedoheptulose 7-phosphate isomerase	((G6106-MONOMER, 4))	
CPLX0-7662	&beta;-D-glucuronidase	((BETA-GLUCURONID-MONOMER, 4))	
CPLX0-7666	CaiF transcriptional activator	((G6088-MONOMER, 2))	
CPLX0-7667	NADP-dependent aldehyde reductase	((G7564-MONOMER, 2))	
CPLX0-7668	predicted oxidoreductase	((EG11134-MONOMER, 2))	
CPLX0-7669	ArgP DNA-binding transcriptional activator	((EG10490-MONOMER, 2))	
CPLX0-7670	ArgP-lysine	((CPLX0-7669, 1) (LYS, 1))	
CPLX0-7671	ArgP-arginine  DNA binding transcriptional dual regulator	((CPLX0-7669, 1) (ARG, 1))	
CPLX0-7672	MntR-Mn<sup>2+</sup> DNA-binding transcriptional dual regulator	((CPLX0-7701, 2))	
CPLX0-7674	K<sup>+</sup> channel Kch	((KCH-MONOMER, 4))	
CPLX0-7675	2Fe-2S cluster-containing protein	((G6988-MONOMER, 3))	
CPLX0-7677	ZntR-Zn<sup>2+</sup> transcriptional activator	((EG11969-MONOMER, 1) (ZN+2, 1))	
CPLX0-7678	ZntR-Zn<sup>2+</sup> DNA-binding transcriptional activator	((CPLX0-7677, 2))	
CPLX0-7679	Zur transcriptional repressor	((EG11929-MONOMER, 2))	
CPLX0-7680	Zur-Zn<sup>2+</sup> DNA-binding transcriptional repressor	((CPLX0-7679, 1) (ZN+2, 4))	
CPLX0-7681	XapR-xanthosine DNA-binding transcriptional activator	((EG11146-MONOMER, 1) (XANTHOSINE, 1))	
CPLX0-7682	iron-sulfur cluster scaffold protein	((G7748-MONOMER, 2))	
CPLX0-7683	mannose isomerase	((EG11845-MONOMER, 6))	
CPLX0-7684	L-valine efflux transporter	((G7405-MONOMER, 1) (G7406-MONOMER, 1))	
CPLX0-7685	hypoxanthine phosphoribosyltransferase	((HYPOXANPRIBOSYLTRAN-MONOMER, 4))	
CPLX0-7686	cell division factor ZapB	((EG11878-MONOMER, 2))	
CPLX0-7687	NAD<sup>+</sup>-dependent succinate semialdehyde dehydrogenase	((G6811-MONOMER, 2))	
CPLX0-7688	succinate-semialdehyde dehydrogenase (NADP<sup>+</sup>)	((SUCCSEMIALDDEHYDROG-MONOMER, 4))	
CPLX0-7689	LldR-L-lactose DNA-binding transcriptional dual regulator	((EG11962-MONOMER, 1) (L-LACTATE, 1))	
CPLX0-7691	isovaleryl-CoA dehydrogenase and DNA-binding transcriptional repressor	((EG11811-MONOMER, 4))	
CPLX0-7692	nucleoside triphosphate pyrophosphohydrolase	((EG10572-MONOMER, 2))	
CPLX0-7693	NADH:quinone reductase, FMN dependent / NADH-azoreductase	((G6731-MONOMER, 2))	
CPLX0-7694	glutaminase	((G6261-MONOMER, 4))	
CPLX0-7695	glutaminase	((G6810-MONOMER, 2))	
CPLX0-7696	cell division protein involved in chromosome partitioning	((EG10618-MONOMER, 2))	
CPLX0-7697	MukEF complex	((EG11252-MONOMER, 4) (CPLX0-7698, 1))	
CPLX0-7698	MukF dimer	((EG12165-MONOMER, 2))	
CPLX0-7701	MntR-Mn<sup>2+</sup>	((G6420-MONOMER, 1) (MN+2, 1))	
CPLX0-7702	CueR-Cu(I)	((G6263-MONOMER, 1) (CU+, 1))	
CPLX0-7704	lipopolysaccharide ABC transporter	((EG10613-MONOMER, 2))	
CPLX0-7705	Fis DNA-binding transcriptional dual regulator	((PD00196, 2))	
CPLX0-7707	NikR-Ni DNA binding transcriptional repressor	((MONOMER0-1781, 4))	
CPLX0-7708	CueR-Cu<sup>+</sup> DNA-binding transcriptional dual regulator	((CPLX0-7702, 2))	
CPLX0-7709	glutamate-putrescine ligase	((G6644-MONOMER, 12))	
CPLX0-7710	MarR DNA-binding transcriptional repressor	((PD00364, 2))	
CPLX0-7711	Skp periplasmic chaperone	((EG10455-MONOMER, 3))	
CPLX0-7712	GDP-mannose mannosyl hydrolase	((GDPMANMANHYDRO-MONOMER, 2))	
CPLX0-7713	DsdC DNA-binding transcriptional dual regulator	((PD00297, 2))	
CPLX0-7714	DsdC-D-serine DNA binding transcriptional dual regulator	((CPLX0-7713, 1) (D-SERINE, 1))	
CPLX0-7715	IlvY-2-acetolactate DNA binding transcriptional dual regulator	((PD00200, 1) (2-ACETO-LACTATE, 1))	
CPLX0-7716	NemR-methylglyoxal	((G6889-MONOMER, 1) (METHYL-GLYOXAL, 1))	
CPLX0-7717	penicillin-binding protein 1A	((EG10748-MONOMER, 2))	
CPLX0-7718	UDP-L-Ara4N formyltransferase / UDP-GlcA C-4\-decarboxylase	((G7168-MONOMER, 6))	
CPLX0-7719	quinolinate synthase	((QUINOLINATE-SYNTHA-MONOMER, 2))	
CPLX0-7720	undecaprenyl-phosphate-&alpha;-L-Ara4N flippase	((MONOMER0-2682, 1) (G7171-MONOMER, 1))	
CPLX0-7721	DcuR-Phosphorylated DNA-binding transcriptional activator	((PHOSPHO-DCUR-MONOMER, 2))	
CPLX0-7722	L-rhamnonate dehydratase	((G7160-MONOMER, 8))	
CPLX0-7723	2-keto-3-deoxy-L-rhamnonate aldolase	((G7158-MONOMER, 6))	
CPLX0-7724	formate dehydrogenase formation protein	((EG10284-MONOMER, 2))	
CPLX0-7725	CRISPR-associated complex for antiviral defense	((G7430-MONOMER, 1) (G7429-MONOMER, 2) (G7428-MONOMER, 6) (G7427-MONOMER, 1) (G7426-MONOMER, 1))	
CPLX0-7726	23S rRNA m<sup>5</sup>C1962 methyltransferase	((G6501-MONOMER, 2))	
CPLX0-7727	16S rRNA m<sup>3</sup>U1498 methyltransferase	((EG12366-MONOMER, 2))	
CPLX0-7728	tRNA pseudouridine synthase I	((EG10454-MONOMER, 2))	
CPLX0-7729	PaaX-phenylacetyl-CoA	((G6720-MONOMER, 1) (CPD-207, 1))	
CPLX0-7731	PaaX DNA-binding transcriptional repressor	((G6720-MONOMER, 2))	
CPLX0-7732	<i>N</i>-acetylmuramic acid 6-phosphate etherase	((G7263-MONOMER, 2))	
CPLX0-7733	AsnC DNA-binding transcriptional dual regulator	((PD00250, 2))	
CPLX0-7734	ArsR DNA-binding transcriptional repressor	((EG12235-MONOMER, 2))	
CPLX0-7735	AsnC-L-asparagine	((CPLX0-7733, 1) (ASN, 1))	
CPLX0-7736	ArsR-arsenite	((EG12235-MONOMER, 1) (CPD-763, 1))	
CPLX0-7739	ArsR-antimonite	((EG12235-MONOMER, 1) (ANTIMONITE, 1))	
CPLX0-7740	CytR DNA-binding transcriptional repressor	((PD04028, 2))	
CPLX0-7741	methylmalonyl-CoA mutase	((METHYLMALONYL-COA-MUT-MONOMER, 2))	
CPLX0-7742	MprA-2,4-dinitrophenol	((EG10603-MONOMER, 1) (CPD-8179, 1))	
CPLX0-7743	MprA-CCCP	((EG10603-MONOMER, 1) (CPD-7970, 1))	
CPLX0-7744	3-keto-L-gulonate 6-phosphate decarboxylase	((G7858-MONOMER, 2))	
CPLX0-7745	MurR DNA-binding transcriptional dual regulator	((G7262-MONOMER, 4))	
CPLX0-7746	MurR-MurNAc-6-P	((G7262-MONOMER, 1) (CPD0-881, 1))	
CPLX0-7747	lipid hydroperoxide peroxidase	((G6660-MONOMER, 2))	
CPLX0-7748	CpxR-P<sup>asp</sup> DNA-binding transcriptional dual regulator	((PHOSPHO-CPXR, 2))	
CPLX0-7749	LsrR-DHPD	((G6799-MONOMER, 1) (DIHYDROXYPENTANEDIONE, 1))	
CPLX0-7750	LsrR-P-DPD	((G6799-MONOMER, 1) (CPD-10551, 1))	
CPLX0-7751	NsrR-nitric oxide	((EG11212-MONOMER, 1) (NITRIC-OXIDE, 1))	
CPLX0-7752	MetR-L-homocysteine	((CPLX0-7759, 1) (HOMO-CYS, 1))	
CPLX0-7754	UhpA-Phosphorylated DNA-binding transcriptional activator	((PHOSPHO-UHPA, 2))	
CPLX0-7755	purine nucleoside phosphoramidase	((EG12172-MONOMER, 2))	
CPLX0-7756	NsrR DNA-binding transcriptional repressor	((EG11212-MONOMER, 2))	
CPLX0-7757	HipB antitoxin and DNA-binding transcriptional repressor	((EG10442-MONOMER, 2))	
CPLX0-7758	<i>O</i>-acetyl-ADP-ribose deacetylase, regulator of RNase III activity	((G6550-MONOMER, 2))	
CPLX0-7759	MetR DNA-binding transcriptional dual regulator	((PD03938, 2))	
CPLX0-7760	aconitate hydratase 1	((ACONITASE-MONOMER, 2))	
CPLX0-7761	bifunctional aconitate hydratase 2 and 2-methylisocitrate dehydratase	((ACONITATEDEHYDRB-MONOMER, 2))	
CPLX0-7766	proofreading thioesterase in enterobactin biosynthesis	((EG11105-MONOMER, 4))	
CPLX0-7776	fructose-1,6-bisphosphatase	((EG11245-MONOMER, 2))	
CPLX0-7787	DinJ-YafQ antitoxin/toxin complex and DNA-binding transcriptional repressor	((G6109-MONOMER, 1) (G6110-MONOMER, 1))	
CPLX0-7788	NAD-dependent dihydropyrimidine dehydrogenase	((G7145-MONOMER, 2) (EG11289-MONOMER, 2))	
CPLX0-7789	macrodomain Ter protein	((EG12855-MONOMER, 2))	
CPLX0-7791	RelB-RelE antitoxin/toxin complex and DNA-binding transcriptional repressor	((EG10836-MONOMER, 4) (EG11131-MONOMER, 4))	
CPLX0-7794	succinate semialdehyde reductase	((EG11847-MONOMER, 4))	
CPLX0-7795	KdpE-Phosphorylated DNA-binding transcriptional activator	((PHOSPHO-KDPE, 2))	
CPLX0-7796	MetJ-S-adenosylmethionine DNA-binding transcriptional repressor	((MONOMER0-157, 2))	
CPLX0-7797	FNR DNA-binding transcriptional dual regulator	((PD00197, 2))	
CPLX0-7798	protein involved in threonylcarbamoyladenosine biosynthesis	((EG11757-MONOMER, 2))	
CPLX0-7799	protein involved in threonylcarbamoyladenosine biosynthesis	((G6991-MONOMER, 2))	
CPLX0-7800	protein involved in threonylcarbamoyladenosine biosynthesis	((EG11171-MONOMER, 2))	
CPLX0-7801	predicted structural protein, ethanolamine utilization microcompartment	((G7271-MONOMER, 3))	
CPLX0-7802	diguanylate cyclase	((EG11643-MONOMER, 2))	
CPLX0-7805	aldehyde dehydrogenase	((G6157-MONOMER, 1) (G6156-MONOMER, 1) (G6155-MONOMER, 1))	
CPLX0-7806	disulfide reductase	((G7194-MONOMER, 2))	
CPLX0-7807	SdsRQP multidrug efflux system	((EG11952-MONOMER, 1) (YJCQ-MONOMER, 1) (EG11954-MONOMER, 1))	
CPLX0-7808	coproporphyrinogen III oxidase	((COPROGENOXI-MONOMER, 2))	
CPLX0-7810	EfeB dimer	((EG11735-MONOMER, 2))	
CPLX0-7811	protoporphyrinogen oxidase	((PROTOPORGENOXI-MONOMER, 4))	
CPLX0-7816	conserved DNA-binding protein	((EG11100-MONOMER, 2))	
CPLX0-7817	glutaredoxin 4	((EG12181-MONOMER, 2))	
CPLX0-7819	K<sup>+</sup> : H<sup>+</sup> antiporter KefC	((KEFC-MONOMER, 2))	
CPLX0-782	lipoate synthase	((EG11306-MONOMER, 2))	
CPLX0-7820	predicted class I aldolase	((G6804-MONOMER, 10))	
CPLX0-7822	MqsA-MqsR antitoxin/toxin complex	((G7571-MONOMER, 2) (G7572-MONOMER, 4))	
CPLX0-7823	DosC-DosP complex	((G6783-MONOMER, 1) (G6784-MONOMER, 1))	
CPLX0-7824	Fe-S transport protein in Fe-S cluster assembly	((EG11378-MONOMER, 2))	
CPLX0-7826	dITP/XTP pyrophosphatase	((G7530-MONOMER, 2))	
CPLX0-7827	carboxylate-amine ligase	((G6326-MONOMER, 2))	
CPLX0-7835	predicted structural protein, ethanolamine utilization microcompartment	((G7287-MONOMER, 6))	
CPLX0-7836	predicted structural protein, ethanolamine utilization microcompartment	((G7292-MONOMER, 6))	
CPLX0-7837	PEP synthetase regulatory protein	((EG11132-MONOMER, 4))	
CPLX0-7838	cysteine sulfinate desulfinase	((G7454-MONOMER, 2))	
CPLX0-7839	CSD sulfur transfer protein	((G7455-MONOMER, 2))	
CPLX0-7841	sulfite reductase, flavoprotein subunit complex	((ALPHACOMP-MONOMER, 8))	
CPLX0-7843	formate channel FocA	((FOCA-MONOMER, 5))	
CPLX0-7844	<i>p</i>-aminobenzoyl-glutamate hydrolase	((G6669-MONOMER, 2) (G6670-MONOMER, 2))	
CPLX0-7847	4-hydroxy-L-threonine phosphate dehydrogenase, NAD-dependent	((PDXA-MONOMER, 2))	
CPLX0-7848	L-ascorbate 6-phosphate lactonase	((G7855-MONOMER, 6))	
CPLX0-7849	aryl-EntB	((ENTB-MONOMER, 2))	
CPLX0-7852	GadE-RcsB DNA binding transcriptional activator	((RCSB-MONOMER, 1) (EG11544-MONOMER, 1))	
CPLX0-7853	GAP-like protein that activates GTPase activity of Der	((EG11835-MONOMER, 2))	
CPLX0-7854	TreR DNA-binding transcriptional repressor	((EG12202-MONOMER, 2))	
CPLX0-7870	AtoS sensory histidine kinase	((ATOS-MONOMER, 2))	(PHOSPHO-ATOS)
CPLX0-7877	phosphoglucose isomerase	((PGLUCISOM, 2))	
CPLX0-7878	oxalyl-CoA decarboxylase	((G7236-MONOMER, 4))	
CPLX0-7879	NusB-NusE complex	((EG10909-MONOMER, 1) (EG10666-MONOMER, 1))	
CPLX0-7882	1,4-dihydroxy-2-naphthoyl-CoA synthase	((NAPHTHOATE-SYN-MONOMER, 6))	
CPLX0-7884	RcsB-phosphorylated DNA-binding transcriptional activator	((PHOSPHO-RCSB, 2))	(CPLX0-7978)
CPLX0-7885	&gamma;-glutamyltranspeptidase	((MONOMER0-4196, 1) (MONOMER0-4195, 1))	
CPLX0-7887	glutamate-pyruvate aminotransferase	((G7242-MONOMER, 2))	
CPLX0-7888	glutamate-pyruvate aminotransferase	((G7184-MONOMER, 2))	
CPLX0-7889	EF-P-lysine lysyltransferase	((EG11211-MONOMER, 2))	
CPLX0-7904	ribonucleoside hydrolase 2 (pyrimidine-specific)	((EG12030-MONOMER, 4))	
CPLX0-7906	L-carnitine : &gamma;-butyrobetaine antiporter	((CAIT-MONOMER, 3))	
CPLX0-7908	iron-sulfur cluster assembly protein	((EG12132-MONOMER, 4))	
CPLX0-7909	RnlA-RnlB toxin-antitoxin complex	((G7366-MONOMER, 1) (G7365-MONOMER, 1))	
CPLX0-7910	DNA polymerase III, &psi;-&chi; subunit	((EG11413-MONOMER, 1) (EG11414-MONOMER, 1))	
CPLX0-7912	phosphate acetyltransferase	((G7288-MONOMER, 2))	
CPLX0-7913	tellurite methyltransferase	((EG11884-MONOMER, 2))	
CPLX0-7914	multifunctional nuclease	((G7425-MONOMER, 2))	
CPLX0-7916	RcsB-BglJ DNA-binding transcriptional activator	((G7948-MONOMER, 1) (RCSB-MONOMER, 1))	
CPLX0-7917	disulfide reductase / organic hydroperoxide reductase	((G7553-MONOMER, 2))	
CPLX0-7921	mannose PTS permease - ManX subunit	((MANX-MONOMER, 2))	
CPLX0-7922	cell division inhibitor, nucleoid occlusion	((EG11191-MONOMER, 2))	
CPLX0-7923	ATP independent periplasmic chaperone	((G6939-MONOMER, 2))	
CPLX0-7927	NADPH-dependent curcumin/dihydrocurcumin reductase	((G6760-MONOMER, 2))	
CPLX0-7928	RelB-antitoxin and DNA-binding transcriptional repressor	((EG10836-MONOMER, 4))	
CPLX0-7929	YefM-antitoxin DNA-binding transcriptional repressor	((EG12844-MONOMER, 2))	
CPLX0-7932	cytosine deaminase	((CYTDEAM-MONOMER, 6))	
CPLX0-7933	predicted carbamoyltransferase	((G7489-MONOMER, 3))	
CPLX0-7934	FtsLBQ cell division complex	((EG10342-MONOMER, 1) (G7424-MONOMER, 1) (EG11086-MONOMER, 1))	
CPLX0-7935	predicted carbon-phosphorous lyase complex	((PHNK-MONOMER, 1) (EG10719-MONOMER, 2) (EG10718-MONOMER, 2) (EG10717-MONOMER, 2) (EG10716-MONOMER, 4))	
CPLX0-7936	5-phospho-&alpha;-D-ribosyl 1,2-cyclic phosphate phosphodiesterase	((EG10725-MONOMER, 2))	
CPLX0-7938	phosphoenolpyruvate-protein phosphotransferase PtsI, PTS enzyme I	((PTSI-MONOMER, 2))	(PTSI-PHOSPHORYLATED)
CPLX0-7939	regulator of KefC-mediated potassium transport and quinone oxidoreductase	((EG11568-MONOMER, 2))	
CPLX0-7940	CP4-6 prophage; probable 2-keto-3-deoxygluconate aldolase	((G6140-MONOMER, 4))	
CPLX0-7942	Grx4-BolA complex	((EG10125-MONOMER, 1) (EG12181-MONOMER, 1))	
CPLX0-7944	outer membrane phospholipase	((MONOMER0-341, 2))	
CPLX0-7945	zinc-binding phosphatase	((G6540-MONOMER, 3))	
CPLX0-7946	ribosomal protein S6 modification protein	((EG10852-MONOMER, 4))	
CPLX0-7947	succinylarginine dihydrolase	((SUCCARGDIHYDRO-MONOMER, 2))	
CPLX0-7950	2-hydroxy-6-oxononatrienedioate hydrolase	((MHPCHYDROL-MONOMER, 2))	
CPLX0-7951	2-hydroxypentadienoate hydratase	((MHPDHYDROL-MONOMER, 5))	
CPLX0-7952	ferric coprogen outer membrane transport complex	((EG10306-MONOMER, 1) (CPLX0-1923, 1))	
CPLX0-7954	ferric coprogen transport system	((ABC-11-CPLX, 1) (CPLX0-7952, 1))	
CPLX0-7955	acetate / glycolate transporter	((YJCG-MONOMER, 2))	
CPLX0-7956	CsrA dimer	((EG11447-MONOMER, 2))	
CPLX0-7957	selenide, water dikinase	((EG10943-MONOMER, 2))	
CPLX0-7958	methylphosphonate degradation complex	((PHNL-MONOMER, 1) (EG10717-MONOMER, 1) (EG10716-MONOMER, 1) (EG10718-MONOMER, 1))	
CPLX0-7959	adenylosuccinate lyase	((ASL-MONOMER, 4))	
CPLX0-7960	chaperone, protecting proteins in response to oxidative stress	((HMP-KIN-MONOMER, 2))	
CPLX0-7961	chloride:H<sup>+</sup> antiporter ClcA	((YADQ-MONOMER, 2))	
CPLX0-7962	L-amino acid N-acyltransferase	((G6759-MONOMER, 2))	
CPLX0-7963	multidrug / betaine / choline efflux transporter EmrE	((EMRE-MONOMER, 2))	
CPLX0-7964	TolC outer membrane channel	((EG11009-MONOMER, 3))	
CPLX0-7970	YjiE DNA-binding transcriptional dual regulator	((G7924-MONOMER, 2))	
CPLX0-7973	cell division factor ZapD	((EG12313-MONOMER, 2))	
CPLX0-7974	NADH pyrophosphatase	((EG11702-MONOMER, 2))	
CPLX0-7975	NadR DNA-binding transcriptional repressor and NMN adenylyltransferase	((PD04413, 4))	
CPLX0-7976	translocation and assembly module	((G7875-MONOMER, 1) (G7874-MONOMER, 1))	
CPLX0-7977	16S rRNA m<sup>4</sup>C1402 methyltransferase	((EG11085-MONOMER, 2))	
CPLX0-7978	RcsB-P-phosphate	((PHOSPHO-RCSB, 2))	
CPLX0-7979	monoacetylchitobiose-6-phosphate hydrolase	((EG10144-MONOMER, 4))	
CPLX0-7981	mechanosensitive channel of miniconductance YbdG	((G6323-MONOMER, 7))	
CPLX0-7982	mechanosensitive channel YnaI	((MONOMER0-82, 7))	
CPLX0-7983	mechanosensitive channel YbiO	((G6417-MONOMER, 7))	
CPLX0-7984	S-glutathionyl-(chloro)hydroquinone reductase	((G7616-MONOMER, 2))	
CPLX0-7985	mechanosensitive channel of miniconductance	((G7840-MONOMER, 7))	
CPLX0-7986	HypCD complex involved in hydrogenase maturation	((EG10486-MONOMER, 1) (EG10485-MONOMER, 1))	
CPLX0-7987	predicted enamine/imine deaminase	((G7626-MONOMER, 3))	
CPLX0-7988	PaaF-PaaG hydratase-isomerase complex	((G6715-MONOMER, 6) (G6714-MONOMER, 6))	
CPLX0-7989	murein tripeptide amidase A	((G6662-MONOMER, 2))	
CPLX0-7990	dTDP-4-dehydro-6-deoxy-D-glucose transaminase	((RFFTRANS-MONOMER, 4))	
CPLX0-7992	lipopolysaccharide transport system	((CPLX0-7628, 1) (ABC-53-CPLX, 1) (G7664-MONOMER, 1) (YHBN-MONOMER, 1))	
CPLX0-7993	ureidoglycolate dehydrogenase	((G6286-MONOMER, 2))	
CPLX0-7994	poly-&beta;-1,6-N-acetyl-D-glucosamine synthase	((G6528-MONOMER, 1) (G6529-MONOMER, 1))	
CPLX0-7997	diaminopimelate epimerase	((DIAMINOPIMEPIM-MONOMER, 2))	
CPLX0-7998	RNase adaptor protein	((EG12146-MONOMER, 3))	
CPLX0-8	longitudinal peptidoglycan synthesis/chromosome segregation-directing complex	((EG10608-MONOMER, 1) (EG10609-MONOMER, 1) (EG10610-MONOMER, 1))	
CPLX0-8002	protein disulfide isomerase/protein disulfide oxidoreductase - DsbC<sub>oxidised</sub>	((DSBC-MONOMER, 2))	
CPLX0-8004	DsbG<sub>oxidized</sub>	((DSBG-MONOMER, 2))	
CPLX0-8005	3-oxoacyl-[acyl-carrier-protein] reductase	((3-OXOACYL-ACP-REDUCT-MONOMER, 4))	
CPLX0-8006	enoyl-[acyl-carrier-protein] reductase	((ENOYL-ACP-REDUCT-NADH-MONOMER, 4))	
CPLX0-8008	UDP-<i>N</i>-acetylglucosamine 2-epimerase	((UDPGLCNACEPIM-MONOMER, 2))	
CPLX0-8009	outer membrane protein; export and assembly of type 1 fimbriae	((EG10311-MONOMER, 2))	
CPLX0-801	HdeA dimer, inactive form of acid-resistance protein	((EG11398-MONOMER, 2))	
CPLX0-8047	NsrR-nitric oxide	((CPLX0-7756, 1) (NITRIC-OXIDE, 1))	
CPLX0-8048	Dan-L-tartrate DNA-binding transcriptional activator	((EG12694-MONOMER, 1) (TARTRATE, 1))	
CPLX0-8051	CytR-cytidine	((CPLX0-7740, 1) (CYTIDINE, 1))	
CPLX0-8053	SelB-L-selenocysteinyl-tRNA<SUP>sec</SUP>	((EG10942-MONOMER, 1) (modified-charged-selC-tRNA, 1))	
CPLX0-8054	MurR-<i>N</i>-acetylmuramate 6-phosphate	((CPLX0-7745, 1) (CPD0-881, 1))	
CPLX0-8055	AcrR-ethidium	((EG12116-MONOMER, 1) (CPD0-1938, 1))	
CPLX0-8056	TreR-trehalose 6-phosphate	((EG12202-MONOMER, 1) (TREHALOSE-6P, 1))	
CPLX0-8057	GlpR-glycerol	((PD03576, 1) (GLYCEROL, 1))	
CPLX0-8058	RutR-thymine	((PD01352, 1) (THYMINE, 1))	
CPLX0-8059	DgsA-EII	((PD01896, 1) (CPD0-2342, 1))	
CPLX0-8060	GcvA-gly	((PD00339, 1) (GLY, 1))	
CPLX0-8061	NrdR-Zn<sup>2+</sup> DNA-binding transcriptional repressor	((EG11320-MONOMER, 1) (ZN+2, 1))	
CPLX0-8062	CaiF-L-carnitine DNA-binding Transcriptional Activator	((CPLX0-7666, 1) (CARNITINE, 1))	
CPLX0-8069	YqjI-nickel	((G7594-MONOMER, 1) (NI+2, 1))	
CPLX0-8070	DksA-ppGpp	((EG10230-MONOMER, 1) (GUANOSINE-5DP-3DP, 1))	
CPLX0-8071	AllR-allantoin	((ALLANTOIN, 1) (G6276-MONOMER, 1))	
CPLX0-8074	ComR-Cu(I)	((G6569-MONOMER, 1) (CU+, 1))	
CPLX0-8075	YjiE DNA-binding transcriptional dual regulator	((CPLX0-7970, 1))	
CPLX0-8076	ArgR-arg	((PD00194, 1) (ARG, 1))	
CPLX0-8077	ExuR-lysine	((PD03270, 1) (LYS, 1))	
CPLX0-8079	ChbR-<i>N</i>-monoacetylchitobiose-6-phosphate	((EG10143-MONOMER, 1) (DIACETYLCHITOBIOSE-6-PHOSPHATE, 1))	
CPLX0-8083	IscR-2Fe-2S DNA binding transcriptional repressor	((G7326-MONOMER, 1) (CPD-6, 1))	
CPLX0-8085	PuuR-putrescine	((EG12431-MONOMER, 1) (PUTRESCINE, 1))	
CPLX0-821	fructoselysine 6-phosphate deglycase	((G7723-MONOMER, 12))	
CPLX0-841	MazE antitoxin of the MazF-MazE toxin-antitoxin system	((EG10571-MONOMER, 2))	
CPLX0-861	glyoxalase III, Hsp31 molecular chaperone	((G7055-MONOMER, 2))	
CPLX0-881	ClpA ATP-dependent protease specificity component and chaperone	((EG10156-MONOMER, 6))	
CPLX0-901	tRNA-specific adenosine deaminase	((EG11372-MONOMER, 2))	
CPLX0-902	probable 4-oxalocrotonate tautomerase (4-OT)	((EG11761-MONOMER, 2))	
CPLX0-921	inhibitor of vertebrate C-type lysozyme	((G6104-MONOMER, 2))	
CPLX0-961	PspC transcriptional regulator; toxin of a PspC-PspB toxin-antitoxin pair	((EG10778-MONOMER, 2))	
CPLX0-981	PspF DNA-binding transcriptional dual regulator	((EG12344-MONOMER, 6))	
CPLXECOLI-7943	NMN amidohydrolase	((G7409-MONOMER, 2))	
CREC-CPLX	CreC sensory histidine kinase	((CREC-MONOMER, 2))	(PHOSPHO-CREC)
CTPSYN-CPLX	CTP synthase	((CTPSYN-MONOMER, 4))	
CYANLY-CPLX	cyanase dimer	((CYANLY-MONOMER, 2))	
CYSSYNMULTI-CPLX	bifunctional CysEK cysteine biosynthesis complex	((CPLX0-237, 1) (ACSERLYA-CPLX, 1))	
CYSTATHIONINE-BETA-LYASE-CPLX	L-cysteine desulfhydrase / cystathionine-&beta;-lyase	((CYSTATHIONINE-BETA-LYASE-MONOMER, 4))	
CYT-D-UBIOX-CPLX	cytochrome <i>bd</i>-I terminal oxidase	((CYDA-MONOMER, 1) (CYDB-MONOMER, 1))	
CYT-O-UBIOX-CPLX	cytochrome <i>bo</i> terminal oxidase	((CYOD-MONOMER, 1) (CYOA-MONOMER, 1) (CYOB-MONOMER, 1) (CYOC-MONOMER, 1))	
CYTIDEAM-CPLX	cytidine deaminase	((CYTIDEAM-MONOMER, 2))	
DALADALALIGB-CPLX	D-alanine-D-alanine ligase B	((DALADALALIGB-MONOMER, 2))	
DALADEHYDROG-CPLX	D-amino acid dehydrogenase	((DALADEHYDROGA-MONOMER, 2))	
DAPASYN-CPLX	7,8-diaminopelargonic acid synthase	((DAPASYN-MONOMER, 2))	
DCTP-DEAM-CPLX	dCTP deaminase	((DCTP-DEAM-MONOMER, 3))	
DCYSDESULF-CPLX	D-cysteine desulfhydrase, PLP-dependent / 3-chloro-D-alanine dehydrochlorinase	((DCYSDESULF-MONOMER, 2))	
DEOA-CPLX	thymidine phosphorylase / uracil phosphorylase	((DEOA-MONOMER, 2))	
DEOD-CPLX	purine nucleoside phosphorylase	((DEOD-MONOMER, 6))	
